pair_id,subject_id,axis,positive_earlier_calc,control_diff,diff__regime__active__elemental_environment_shift,diff__regime__active__geju_state_change,diff__regime__active__key_pillar_change,diff__regime__active__major_relation_change,diff__regime__active__rooting_exposure_change,diff__regime__active__special_structure_change,diff__regime__active__stem_branch_convergence,diff__regime__active__structural_activation_shift,diff__regime__active__tiaohou_change,diff__regime__active__yong_xiang_support_shift,diff__regime__ambiguous__elemental_environment_shift,diff__regime__ambiguous__geju_state_change,diff__regime__ambiguous__key_pillar_change,diff__regime__ambiguous__major_relation_change,diff__regime__ambiguous__rooting_exposure_change,diff__regime__ambiguous__special_structure_change,diff__regime__ambiguous__stem_branch_convergence,diff__regime__ambiguous__structural_activation_shift,diff__regime__ambiguous__tiaohou_change,diff__regime__ambiguous__yong_xiang_support_shift,diff__regime__confidence,diff__regime__contradiction_count,diff__regime__direction_score,diff__regime__fav_minus_unfav_clean,diff__regime__n_active,diff__regime__n_agree,diff__regime__relation_intensity,diff__regime__season_efficacy,diff__regime__signed__elemental_environment_shift,diff__regime__signed__geju_state_change,diff__regime__signed__key_pillar_change,diff__regime__signed__major_relation_change,diff__regime__signed__rooting_exposure_change,diff__regime__signed__special_structure_change,diff__regime__signed__stem_branch_convergence,diff__regime__signed__structural_activation_shift,diff__regime__signed__tiaohou_change,diff__regime__signed__yong_xiang_support_shift,diff__regime__stem_rooted,diff__regime_relrole__AMBIGUOUS,diff__regime_relrole__CLASHES_HARMFUL_STRUCTURE,diff__regime_relrole__CLASHES_USEFUL_STRUCTURE,diff__regime_relrole__COMPETING_HAP_CLASH,diff__regime_relrole__STRUCTURAL_MOVEMENT,diff__regime_relrole__SUPPORTS_HARMFUL,diff__regime_relrole__SUPPORTS_USEFUL_OR_BINDS,diff__tgctx__branch_effect,diff__tgctx__branch_role__AMBIGUOUS,diff__tgctx__branch_role__CONTROLS_EXCESS,diff__tgctx__branch_role__DRAINS_EXCESS,diff__tgctx__branch_role__DRAINS_WEAK,diff__tgctx__branch_role__FEEDS_HARMFUL_EXCESS,diff__tgctx__branch_role__NEUTRAL,diff__tgctx__branch_role__OVERBURDENS_OR_COVERS,diff__tgctx__branch_role__OVERBURDENS_WEAK_STRUCTURE,diff__tgctx__branch_role__SUPPLIES_NEEDED_RESOURCE,diff__tgctx__branch_role__SUPPORTS_USEFUL_STRUCTURE,diff__tgctx__stem_effect,diff__tgctx__stem_role__AMBIGUOUS,diff__tgctx__stem_role__CONTROLS_EXCESS,diff__tgctx__stem_role__DRAINS_EXCESS,diff__tgctx__stem_role__DRAINS_WEAK,diff__tgctx__stem_role__FEEDS_HARMFUL_EXCESS,diff__tgctx__stem_role__NEUTRAL,diff__tgctx__stem_role__OVERBURDENS_OR_COVERS,diff__tgctx__stem_role__OVERBURDENS_WEAK_STRUCTURE,diff__tgctx__stem_role__SUPPLIES_NEEDED_RESOURCE,diff__tgctx__stem_role__SUPPORTS_USEFUL_STRUCTURE,diff__year_elem__branch_sign,diff__year_elem__stem_sign,diff__year_natal_rel__intensity,diff__year_natal_rel__role__AMBIGUOUS,diff__year_natal_rel__role__CLASHES_HARMFUL_STRUCTURE,diff__year_natal_rel__role__CLASHES_USEFUL_STRUCTURE,diff__year_natal_rel__role__COMPETING_HAP_CLASH,diff__year_natal_rel__role__STRUCTURAL_MOVEMENT,diff__year_natal_rel__role__SUPPORTS_HARMFUL,diff__year_natal_rel__role__SUPPORTS_USEFUL_OR_BINDS,diff__year_natal_rel__valence,diff__yearctx__binglin_dy,diff__yearctx__contextual_trigger,diff__yearctx__dy_context,diff__yearctx__event_intensity,diff__yearctx__fanyin,diff__yearctx__fuyin_natal_dae,diff__yearctx__fuyin_natal_year,diff__yearctx__reinforce,diff__yearctx__valence
V4UD_015_P01,V4UD_015,COMPETITIVE,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,-0.19499999999999984,-1.0,-1.0,0.0,-1.0,0.0,2.0,0.0,-1.1675,0.0,-1.1583098125000002,0.0,-0.19499999999999984,0.0,0.0,0.0,0.0,-1.5925
V4UD_016_P01,V4UD_016,COMPETITIVE,True,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8424999999999999,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,1.5650000000000002,0.0,1.0613757500000003,0.0,1.9425,1.0,0.0,1.0,0.0,1.565
V4UD_017_P01,V4UD_017,COMPETITIVE,True,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033800000000000024,0.0,0.0,0.0,0.1924999999999999,0.0,0.0,0.0,0.0,0.3375000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,-1.0,0.0,-1.0,0.0,-0.65,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.14999999999999997,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,2.0,0.0,0.9750000000000001,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,-2.220446049250313e-16,0.0,-0.2043234375000002,1.2,0.9750000000000001,0.0,0.0,0.0,1.0,-0.37500000000000033
V4UD_018_P01,V4UD_018,COMPETITIVE,True,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5525,1.0,-1.0,2.0,1.0,0.0,0.0,-1.0,-2.2675,0.0,-1.7702057187500002,0.0,-0.047499999999999876,-1.0,0.0,0.0,0.0,-2.5175
V4UD_019_P01,V4UD_019,COMPETITIVE,True,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0699999999999998,0.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.5125,0.0,0.32465124999999995,0.0,1.0699999999999998,0.0,0.0,0.0,0.0,0.5125
V4UD_020_P01,V4UD_020,COMPETITIVE,False,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999998,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0624999999999996,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-0.625,0.0,-0.1337500000000001,-1.2,-1.0624999999999996,0.0,0.0,0.0,-1.0,-0.32500000000000007
V4UD_004_P01,V4UD_004,COMPETITIVE,True,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999998,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-0.2524999999999995,0.0,1.0,-1.0,0.0,0.0,-1.0,0.0,1.7349999999999999,0.0,1.1945899999999998,-1.2,-0.2524999999999995,0.0,0.0,0.0,-1.0,1.835
V4UD_021_P01,V4UD_021,COMPETITIVE,True,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.55,2.0,-0.175,0.0,0.0,-2.0,-0.05250000000000021,0.0,0.0,0.0,-1.0,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,1.0,0.0,-0.65,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.4,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,-2.0,1.7274999999999996,-1.0,1.0,0.0,-1.0,0.0,2.0,0.0,-0.4600000000000001,0.0,-0.3903066250000001,0.0,1.7274999999999996,0.0,0.0,0.0,0.0,-0.5850000000000001
V4UD_022_P01,V4UD_022,COMPETITIVE,False,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999998,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,-1.0,2.0,0.0,0.0,1.0,-1.0,-2.9475,0.0,-1.9076715937500002,0.0,0.75,0.0,0.0,0.0,0.0,-2.8975
V4UD_023_P01,V4UD_023,COMPETITIVE,False,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14999999999999997,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.7825000000000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.805,0.0,0.4770265,-0.6,0.7825000000000002,0.0,0.0,0.0,-0.5,0.7300000000000001
