repeat,fold,pair_id,subject_id,axis,positive_earlier_calc,candidate_margin,candidate_correct,control_diff,control_correct
2,0,V4UDW2_019_P01,V4UDW2_019,STATUS,True,-3.133724947475705,0.0,-6.0,0.0
2,0,V4UDW2_020_P01,V4UDW2_020,STATUS,True,2.2488191396870407,1.0,8.0,1.0
2,0,V4UDW2_021_P01,V4UDW2_021,STATUS,True,-1.3925124996294842,0.0,1.0,1.0
2,0,V4UDW2_024_P01,V4UDW2_024,STATUS,True,5.622996040161453,1.0,-8.0,0.0
2,0,V4UDW2_040_P01,V4UDW2_040,STATUS,True,-0.5772603512459019,0.0,11.0,1.0
2,1,V4UD_001_P01,V4UD_001,COMPETITIVE,False,-2.489286196230875,0.0,9.0,1.0
2,1,V4UD_016_P01,V4UD_016,COMPETITIVE,True,-5.5646640656527255,0.0,-1.0,0.0
2,1,V4UD_018_P01,V4UD_018,COMPETITIVE,True,4.747380636135885,1.0,-2.0,0.0
2,1,V4UD_019_P01,V4UD_019,COMPETITIVE,True,0.9560301988739217,1.0,-6.0,0.0
2,1,V4UD_022_P01,V4UD_022,COMPETITIVE,False,0.5121731850976903,1.0,-3.0,0.0
2,1,V4UD_043_P01,V4UD_043,PROJECT,False,-0.3286437452151981,0.0,-12.0,0.0
2,1,V4UD_050_P01,V4UD_050,PROJECT,False,1.9488714892311918,1.0,-10.0,0.0
2,1,V4UD_054_P01,V4UD_054,PROJECT,False,-0.34751699362994115,0.0,4.0,1.0
2,1,V4UD_061_P01,V4UD_061,STATUS,True,2.4066981835444867,1.0,9.0,1.0
2,1,V4UD_065_P01,V4UD_065,STATUS,False,3.2995146300735985,1.0,-22.0,0.0
2,1,V4UD_088_P01,V4UD_088,STATUS,True,1.1560617059627605,1.0,-7.0,0.0
2,1,V4UD_092_P01,V4UD_092,STATUS,False,2.5350856665447594,1.0,2.0,1.0
2,1,V4UD_094_P01,V4UD_094,STATUS,True,6.713013370470917,1.0,7.0,1.0
2,1,V4UDW2_002_P01,V4UDW2_002,COMPETITIVE,True,1.243601214848064,1.0,-1.0,0.0
2,1,V4UDW2_005_P01,V4UDW2_005,PROJECT,False,-1.0915582577491472,0.0,3.0,1.0
2,1,V4UDW2_010_P01,V4UDW2_010,PROJECT,True,2.576548060895164,1.0,-4.0,0.0
2,1,V4UDW2_015_P01,V4UDW2_015,STATUS,False,-0.6388205574289781,0.0,-1.0,0.0
2,1,V4UDW2_018_P01,V4UDW2_018,STATUS,True,-7.95083957804591,0.0,-7.0,0.0
2,1,V4UDW2_026_P01,V4UDW2_026,STATUS,True,7.686861165069424,1.0,-1.0,0.0
2,1,V4UDW2_029_P01,V4UDW2_029,STATUS,True,-12.581959986656427,0.0,5.0,1.0
2,2,V4UD_010_P01,V4UD_010,COMPETITIVE,True,0.8149251400801144,1.0,-1.0,0.0
2,2,V4UD_015_P01,V4UD_015,COMPETITIVE,True,1.2452162412600576,1.0,1.0,1.0
2,2,V4UD_023_P01,V4UD_023,COMPETITIVE,False,-2.2253797355985756,0.0,-1.0,0.0
2,2,V4UD_025_P01,V4UD_025,COMPETITIVE,True,3.59323293005481,1.0,8.0,1.0
2,2,V4UD_030_P01,V4UD_030,COMPETITIVE,False,-0.3318447883651743,0.0,-12.0,0.0
2,2,V4UD_036_P01,V4UD_036,PROJECT,False,1.3317996998232182,1.0,5.0,1.0
2,2,V4UD_039_P01,V4UD_039,PROJECT,False,-0.8011416812747857,0.0,7.0,1.0
2,2,V4UD_033_P01,V4UD_033,PROJECT,False,0.19073859318901115,1.0,-9.0,0.0
2,2,V4UD_055_P01,V4UD_055,PROJECT,True,-2.2550963245603954,0.0,18.0,1.0
2,2,V4UD_080_P01,V4UD_080,STATUS,True,2.159100895851,1.0,3.0,1.0
2,2,V4UD_085_P01,V4UD_085,STATUS,True,-0.6719336785277917,0.0,1.0,1.0
2,2,V4UD_089_P01,V4UD_089,STATUS,True,-1.5443641045013714,0.0,-11.0,0.0
2,2,V4UD_093_P01,V4UD_093,STATUS,True,2.245563430802965,1.0,-5.0,0.0
2,2,V4UD_098_P01,V4UD_098,STATUS,True,-0.448605521165932,0.0,7.0,1.0
2,2,V4UD_100_P01,V4UD_100,STATUS,True,6.3471413892749275,1.0,10.0,1.0
2,2,V4UDW2_001_P01,V4UDW2_001,COMPETITIVE,True,-5.739597327511592,0.0,5.0,1.0
2,2,V4UDW2_009_P01,V4UDW2_009,PROJECT,False,-1.032087299969421,0.0,-8.0,0.0
2,2,V4UDW2_030_P01,V4UDW2_030,STATUS,False,3.2718104038548232,1.0,0.0,0.5
2,2,V4UDW2_036_P01,V4UDW2_036,STATUS,True,-10.69522759230391,0.0,-3.0,0.0
2,2,V4UDW2_044_P01,V4UDW2_044,STATUS,False,0.6124537511269716,1.0,-2.0,0.0
2,3,V4UD_009_P01,V4UD_009,COMPETITIVE,True,-0.3666898487186404,0.0,2.0,1.0
2,3,V4UD_012_P01,V4UD_012,COMPETITIVE,True,-1.2903421040616718,0.0,5.0,1.0
2,3,V4UD_014_P01,V4UD_014,COMPETITIVE,False,1.2839109353859022,1.0,5.0,1.0
2,3,V4UD_003_P01,V4UD_003,COMPETITIVE,True,1.636832046929473,1.0,-4.0,0.0
2,3,V4UD_006_P01,V4UD_006,COMPETITIVE,False,-3.0380625695804517,0.0,-2.0,0.0
2,3,V4UD_029_P01,V4UD_029,COMPETITIVE,False,5.461063823882831,1.0,4.0,1.0
2,3,V4UD_032_P01,V4UD_032,PROJECT,False,-0.7809927110066524,0.0,2.0,1.0
2,3,V4UD_044_P01,V4UD_044,PROJECT,False,7.188143715713643,1.0,3.0,1.0
2,3,V4UD_046_P01,V4UD_046,PROJECT,False,-2.5448359959036715,0.0,4.0,1.0
2,3,V4UD_053_P01,V4UD_053,PROJECT,False,-0.2870415073530531,0.0,0.0,0.5
2,3,V4UD_057_P01,V4UD_057,STATUS,False,-3.6022390136143168,0.0,0.0,0.5
2,3,V4UD_069_P01,V4UD_069,STATUS,True,1.4719213645579443,1.0,-15.0,0.0
2,3,V4UD_077_P01,V4UD_077,STATUS,True,-2.063972241476031,0.0,-11.0,0.0
2,3,V4UD_082_P01,V4UD_082,STATUS,True,-1.314956534020508,0.0,1.0,1.0
2,3,V4UD_083_P01,V4UD_083,STATUS,True,3.097949953731066,1.0,12.0,1.0
2,3,V4UD_091_P01,V4UD_091,STATUS,True,0.45897229098884973,1.0,10.0,1.0
2,3,V4UDW2_007_P01,V4UDW2_007,PROJECT,True,-0.5071706438443306,0.0,20.0,1.0
2,3,V4UDW2_013_P01,V4UDW2_013,STATUS,False,-4.804107818769794,0.0,11.0,1.0
2,3,V4UDW2_022_P01,V4UDW2_022,STATUS,True,-0.5305569635540838,0.0,8.0,1.0
2,3,V4UDW2_034_P01,V4UDW2_034,STATUS,True,2.491760959029729,1.0,-1.0,0.0
2,4,V4UD_002_P01,V4UD_002,COMPETITIVE,True,0.39956595247983967,1.0,-3.0,0.0
2,4,V4UD_017_P01,V4UD_017,COMPETITIVE,True,-0.014191829847287098,0.0,3.0,1.0
2,4,V4UD_020_P01,V4UD_020,COMPETITIVE,False,-0.5361442208174083,0.0,6.0,1.0
2,4,V4UD_021_P01,V4UD_021,COMPETITIVE,True,4.172088386089055,1.0,5.0,1.0
2,4,V4UD_005_P01,V4UD_005,COMPETITIVE,False,1.738375765716583,1.0,1.0,1.0
2,4,V4UD_027_P01,V4UD_027,COMPETITIVE,False,-2.7080770016930313,0.0,-3.0,0.0
2,4,V4UD_048_P01,V4UD_048,PROJECT,False,0.8139453255180044,1.0,14.0,1.0
2,4,V4UD_049_P01,V4UD_049,PROJECT,False,-0.19840096201238036,0.0,6.0,1.0
2,4,V4UD_051_P01,V4UD_051,PROJECT,False,2.8051329191329284,1.0,-2.0,0.0
2,4,V4UD_052_P01,V4UD_052,PROJECT,False,-3.4192846707409124,0.0,1.0,1.0
2,4,V4UD_063_P01,V4UD_063,STATUS,True,-2.7210390250122045,0.0,0.0,0.5
2,4,V4UD_066_P01,V4UD_066,STATUS,True,2.7074210656846014,1.0,7.0,1.0
2,4,V4UD_074_P01,V4UD_074,STATUS,True,1.1451160223935506,1.0,2.0,1.0
2,4,V4UD_078_P01,V4UD_078,STATUS,True,-4.326336772365296,0.0,-17.0,0.0
2,4,V4UD_081_P01,V4UD_081,STATUS,False,2.4934745889058103,1.0,4.0,1.0
2,4,V4UD_084_P01,V4UD_084,STATUS,False,1.158150415876055,1.0,2.0,1.0
2,4,V4UDW2_006_P01,V4UDW2_006,PROJECT,True,-0.42291262861187323,0.0,14.0,1.0
2,4,V4UDW2_023_P01,V4UDW2_023,STATUS,True,-1.777853600142636,0.0,-5.0,0.0
2,4,V4UDW2_038_P01,V4UDW2_038,STATUS,True,-0.9229147538130352,0.0,-15.0,0.0
2,4,V4UDW2_043_P01,V4UDW2_043,STATUS,True,-1.763110476318295,0.0,2.0,1.0
3,0,V4UD_001_P01,V4UD_001,COMPETITIVE,False,-7.05035832401395,0.0,9.0,1.0
3,0,V4UD_002_P01,V4UD_002,COMPETITIVE,True,-0.5675360276711253,0.0,-3.0,0.0
3,0,V4UD_024_P01,V4UD_024,COMPETITIVE,False,2.8284615617113853,1.0,20.0,1.0
3,0,V4UD_025_P01,V4UD_025,COMPETITIVE,True,3.4266865703057254,1.0,8.0,1.0
3,0,V4UD_029_P01,V4UD_029,COMPETITIVE,False,7.266155953908785,1.0,4.0,1.0
3,0,V4UD_033_P01,V4UD_033,PROJECT,False,-2.162206486902159,0.0,-9.0,0.0
3,0,V4UD_048_P01,V4UD_048,PROJECT,False,-0.012792274866482238,0.0,14.0,1.0
3,0,V4UD_053_P01,V4UD_053,PROJECT,False,0.4297124175039506,1.0,0.0,0.5
3,0,V4UD_054_P01,V4UD_054,PROJECT,False,0.23942650553804826,1.0,4.0,1.0
3,0,V4UD_060_P01,V4UD_060,STATUS,False,-3.696248111454336,0.0,-11.0,0.0
3,0,V4UD_065_P01,V4UD_065,STATUS,False,5.434456937663761,1.0,-22.0,0.0
3,0,V4UD_078_P01,V4UD_078,STATUS,True,-9.694769277255206,0.0,-17.0,0.0
3,0,V4UD_085_P01,V4UD_085,STATUS,True,1.6511027335902417,1.0,1.0,1.0
3,0,V4UD_088_P01,V4UD_088,STATUS,True,2.161450140640429,1.0,-7.0,0.0
3,0,V4UD_098_P01,V4UD_098,STATUS,True,0.1161844974535367,1.0,7.0,1.0
3,0,V4UD_100_P01,V4UD_100,STATUS,True,3.444065996336311,1.0,10.0,1.0
3,0,V4UDW2_001_P01,V4UDW2_001,COMPETITIVE,True,-3.382064387609895,0.0,5.0,1.0
3,0,V4UDW2_002_P01,V4UDW2_002,COMPETITIVE,True,1.7931166404432102,1.0,-1.0,0.0
3,0,V4UDW2_004_P01,V4UDW2_004,PROJECT,True,1.4392810749161824,1.0,2.0,1.0
3,0,V4UDW2_016_P01,V4UDW2_016,STATUS,True,-2.558897963782036,0.0,-3.0,0.0
3,0,V4UDW2_029_P01,V4UDW2_029,STATUS,True,-12.880364432294975,0.0,5.0,1.0
3,1,V4UD_009_P01,V4UD_009,COMPETITIVE,True,-1.2123776847385266,0.0,2.0,1.0
3,1,V4UD_012_P01,V4UD_012,COMPETITIVE,True,-1.5416818985972456,0.0,5.0,1.0
