axis,role_family,role_qid,wikidata_id,name,norm_name_c2,wikidata_birth_date,source_row_key,source_name,gender,birth_date,birth_time,utc_offset,birth_year,birth_place,longitude,latitude,linkage_status,candidate_source_c2,rodden_rating,birth_source,selection_information_used,event_collection_started,astrology_scored
COMPETITIVE,tennis_player,Q10833314,Q1605124,Hendrik Timmer,hendriktimmer,1904-02-08,HendrikTimmer1904,Hendrik Timmer,male,1904-02-08,00:30,+00:00,1904,"Utrecht, Netherlands",5.12,52.092,PASS_EXACT_DOB,C2_COMPETITIVE_ORIGINAL_ROLE_SUPPLEMENT_EXACT_DOB,AA,Frozen VedAstro PersonList-15k snapshot,ORIGINAL_COMPETITIVE_ROLE_ONLY + WIKIDATA_P569_EXACT_DOB_LINKAGE,False,False
COMPETITIVE,boxer,Q11338576,Q1729196,Karel Sys,karelsys,1914-02-14,KarelSys1914,Karel Sys,male,1914-02-14,21:00,+00:00,1914,"Ostend, Belgium",2.914,51.225,PASS_EXACT_DOB,C2_COMPETITIVE_ORIGINAL_ROLE_SUPPLEMENT_EXACT_DOB,AA,Frozen VedAstro PersonList-15k snapshot,ORIGINAL_COMPETITIVE_ROLE_ONLY + WIKIDATA_P569_EXACT_DOB_LINKAGE,False,False
COMPETITIVE,tennis_player,Q10833314,Q180872,Amélie Mauresmo,ameliemauresmo,1979-07-05,AmélieMauresmo1979,Amélie Mauresmo,female,1979-07-05,16:30,+02:00,1979,"Saint-Germain-en-Laye, France",2.094,48.899,PASS_EXACT_DOB,C2_COMPETITIVE_ORIGINAL_ROLE_SUPPLEMENT_EXACT_DOB,AA,Frozen VedAstro PersonList-15k snapshot,ORIGINAL_COMPETITIVE_ROLE_ONLY + WIKIDATA_P569_EXACT_DOB_LINKAGE,False,False
COMPETITIVE,boxer,Q11338576,Q19722092,Roger Baour,rogerbaour,1926-04-07,RogerBaour1926,Roger Baour,male,1926-04-07,03:00,+00:00,1926,"Pantin, France",2.413,48.893,PASS_EXACT_DOB,C2_COMPETITIVE_ORIGINAL_ROLE_SUPPLEMENT_EXACT_DOB,AA,Frozen VedAstro PersonList-15k snapshot,ORIGINAL_COMPETITIVE_ROLE_ONLY + WIKIDATA_P569_EXACT_DOB_LINKAGE,False,False
COMPETITIVE,boxer,Q11338576,Q19979543,Piero Rollo,pierorollo,1927-02-09,PieroRollo1927,Piero Rollo,male,1927-02-09,18:45,+01:00,1927,"Cagliari, Italy",9.109,39.215,PASS_EXACT_DOB,C2_COMPETITIVE_ORIGINAL_ROLE_SUPPLEMENT_EXACT_DOB,AA,Frozen VedAstro PersonList-15k snapshot,ORIGINAL_COMPETITIVE_ROLE_ONLY + WIKIDATA_P569_EXACT_DOB_LINKAGE,False,False
COMPETITIVE,association_football_player,Q937857,Q206237,Matt Busby,mattbusby,1909-05-26,MattBusby1909,Matt Busby,male,1909-05-26,03:50,+00:00,1909,"Bellshill, United Kingdom",-4.026,55.819,PASS_EXACT_DOB,C2_COMPETITIVE_ORIGINAL_ROLE_SUPPLEMENT_EXACT_DOB,AA,Frozen VedAstro PersonList-15k snapshot,ORIGINAL_COMPETITIVE_ROLE_ONLY + WIKIDATA_P569_EXACT_DOB_LINKAGE,False,False
COMPETITIVE,association_football_player,Q937857,Q2134107,Henri Pavillard,henripavillard,1905-08-15,HenriPavillard1905,Henri Pavillard,male,1905-08-15,02:00,+00:09,1905,"Héricourt, France",6.759,47.575,PASS_EXACT_DOB,C2_COMPETITIVE_ORIGINAL_ROLE_SUPPLEMENT_EXACT_DOB,AA,Frozen VedAstro PersonList-15k snapshot,ORIGINAL_COMPETITIVE_ROLE_ONLY + WIKIDATA_P569_EXACT_DOB_LINKAGE,False,False
COMPETITIVE,boxer,Q11338576,Q213919,George Foreman,georgeforeman,1949-01-10,GeorgeForeman1949,George Foreman,male,1949-01-10,21:15,-06:00,1949,"Marshall, TX, United States",-94.363,32.545,PASS_EXACT_DOB,C2_COMPETITIVE_ORIGINAL_ROLE_SUPPLEMENT_EXACT_DOB,AA,Frozen VedAstro PersonList-15k snapshot,ORIGINAL_COMPETITIVE_ROLE_ONLY + WIKIDATA_P569_EXACT_DOB_LINKAGE,False,False
COMPETITIVE,athlete,Q2066131,Q221001,Jacques Anquetil,jacquesanquetil,1934-01-08,JacquesAnquetil1934,Jacques Anquetil,male,1934-01-08,10:30,+00:00,1934,"Mont-Saint-Aignan, France",1.09,49.469,PASS_EXACT_DOB,C2_COMPETITIVE_ORIGINAL_ROLE_SUPPLEMENT_EXACT_DOB,AA,Frozen VedAstro PersonList-15k snapshot,ORIGINAL_COMPETITIVE_ROLE_ONLY + WIKIDATA_P569_EXACT_DOB_LINKAGE,False,False
COMPETITIVE,tennis_player,Q10833314,Q221908,Yannick Noah,yannicknoah,1960-05-18,YannickNoah1960,Yannick Noah,male,1960-05-18,12:45,+01:00,1960,"Sedan, France",4.945,49.701,PASS_EXACT_DOB,C2_COMPETITIVE_ORIGINAL_ROLE_SUPPLEMENT_EXACT_DOB,AA,Frozen VedAstro PersonList-15k snapshot,ORIGINAL_COMPETITIVE_ROLE_ONLY + WIKIDATA_P569_EXACT_DOB_LINKAGE,False,False
