pair_id,subject_id,preassigned_axis,collection_wave,positive_earlier_calc,positive_year,negative_year,control_positive_score,control_negative_score,control_correct
PRIMARY_TRUSTED_0114,V5DEV_023,COMPETITIVE,ORIGINAL,0,1968,1967,62.0,55.0,1.0
PRIMARY_TRUSTED_0115,V5DEV_023,COMPETITIVE,ORIGINAL,1,1967,1970,55.0,59.0,0.0
PRIMARY_TRUSTED_0116,V5DEV_023,COMPETITIVE,ORIGINAL,1,1968,1970,62.0,59.0,1.0
PRIMARY_TRUSTED_0117,V5DEV_024,COMPETITIVE,ORIGINAL,1,1974,1976,67.0,65.0,1.0
PRIMARY_TRUSTED_0118,V5DEV_025,COMPETITIVE,ORIGINAL,0,1958,1956,61.0,54.0,1.0
PRIMARY_TRUSTED_0119,V5DEV_025,COMPETITIVE,ORIGINAL,0,1959,1956,65.0,54.0,1.0
PRIMARY_TRUSTED_0120,V5DEV_025,COMPETITIVE,ORIGINAL,0,1960,1956,64.0,54.0,1.0
PRIMARY_TRUSTED_0121,V5DEV_025,COMPETITIVE,ORIGINAL,1,1958,1960,61.0,64.0,0.0
PRIMARY_TRUSTED_0122,V5DEV_025,COMPETITIVE,ORIGINAL,1,1959,1960,65.0,64.0,1.0
PRIMARY_TRUSTED_0123,V5DEV_026,COMPETITIVE,ORIGINAL,1,1952,1955,53.0,41.0,1.0
PRIMARY_TRUSTED_0124,V5DEV_026,COMPETITIVE,ORIGINAL,1,1952,1956,53.0,51.0,1.0
PRIMARY_TRUSTED_0125,V5DEV_026,COMPETITIVE,ORIGINAL,1,1952,1957,53.0,51.0,1.0
PRIMARY_TRUSTED_0126,V5DEV_028,COMPETITIVE,ORIGINAL,1,1958,1960,58.0,55.0,1.0
PRIMARY_TRUSTED_0127,V5DEV_028,COMPETITIVE,ORIGINAL,1,1959,1960,60.0,55.0,1.0
PRIMARY_TRUSTED_0128,V5DEV_029,COMPETITIVE,ORIGINAL,1,1933,1936,69.0,70.0,0.0
PRIMARY_TRUSTED_0129,V5DEV_029,COMPETITIVE,ORIGINAL,1,1935,1936,68.0,70.0,0.0
PRIMARY_TRUSTED_0130,V5DEV_030,COMPETITIVE,ORIGINAL,0,1984,1983,74.0,75.0,0.0
PRIMARY_TRUSTED_0131,V5DEV_030,COMPETITIVE,ORIGINAL,0,1985,1983,70.0,75.0,0.0
PRIMARY_TRUSTED_0132,V5DEV_030,COMPETITIVE,ORIGINAL,0,1985,1984,70.0,74.0,0.0
PRIMARY_TRUSTED_0133,V5DEV_030,COMPETITIVE,ORIGINAL,1,1984,1987,74.0,60.0,1.0
PRIMARY_TRUSTED_0134,V5DEV_030,COMPETITIVE,ORIGINAL,1,1984,1988,74.0,68.0,1.0
PRIMARY_TRUSTED_0135,V5DEV_030,COMPETITIVE,ORIGINAL,1,1985,1987,70.0,60.0,1.0
PRIMARY_TRUSTED_0136,V5DEV_030,COMPETITIVE,ORIGINAL,1,1985,1988,70.0,68.0,1.0
PRIMARY_TRUSTED_0137,V5DEV_031,COMPETITIVE,ORIGINAL,1,1959,1960,60.0,66.0,0.0
PRIMARY_TRUSTED_0138,V5DEV_034,COMPETITIVE,ORIGINAL,1,1951,1954,56.0,70.0,0.0
PRIMARY_TRUSTED_0139,V5DEV_034,COMPETITIVE,ORIGINAL,1,1953,1954,58.0,70.0,0.0
PRIMARY_TRUSTED_0140,V5DEV_035,COMPETITIVE,ORIGINAL,0,2015,2013,62.0,59.0,1.0
PRIMARY_TRUSTED_0141,V5DEV_035,COMPETITIVE,ORIGINAL,0,2019,2015,64.0,62.0,1.0
PRIMARY_TRUSTED_0142,V5DEV_036,COMPETITIVE,ORIGINAL,1,1946,1948,58.0,59.0,0.0
PRIMARY_TRUSTED_0143,V5DEV_036,COMPETITIVE,ORIGINAL,1,1946,1951,58.0,58.0,0.5
PRIMARY_TRUSTED_0144,V5DEV_036,COMPETITIVE,ORIGINAL,0,1949,1948,53.0,59.0,0.0
PRIMARY_TRUSTED_0145,V5DEV_036,COMPETITIVE,ORIGINAL,0,1950,1948,59.0,59.0,0.5
PRIMARY_TRUSTED_0146,V5DEV_036,COMPETITIVE,ORIGINAL,1,1949,1951,53.0,58.0,0.0
PRIMARY_TRUSTED_0147,V5DEV_036,COMPETITIVE,ORIGINAL,1,1950,1951,59.0,58.0,1.0
PRIMARY_TRUSTED_0148,V5DEV_037,COMPETITIVE,ORIGINAL,0,1956,1952,68.0,71.0,0.0
PRIMARY_TRUSTED_0149,V5DEV_037,COMPETITIVE,ORIGINAL,1,1956,1958,68.0,75.0,0.0
PRIMARY_TRUSTED_0150,V5DEV_037,COMPETITIVE,ORIGINAL,1,1956,1961,68.0,68.0,0.5
PRIMARY_TRUSTED_0151,V5DEV_037,COMPETITIVE,ORIGINAL,1,1958,1961,75.0,68.0,1.0
PRIMARY_TRUSTED_0152,V5DEV_038,COMPETITIVE,ORIGINAL,0,1990,1986,69.0,75.0,0.0
PRIMARY_TRUSTED_0153,V5DEV_038,COMPETITIVE,ORIGINAL,0,1991,1986,68.0,75.0,0.0
PRIMARY_TRUSTED_0154,V5DEV_038,COMPETITIVE,ORIGINAL,1,1990,1991,69.0,68.0,1.0
PRIMARY_TRUSTED_0155,V5DEV_038,COMPETITIVE,ORIGINAL,0,1996,1991,54.0,68.0,0.0
PRIMARY_TRUSTED_0156,V5DEV_039,COMPETITIVE,ORIGINAL,1,1951,1956,60.0,59.0,1.0
PRIMARY_TRUSTED_0157,V5DEV_039,COMPETITIVE,ORIGINAL,1,1952,1956,54.0,59.0,0.0
PRIMARY_TRUSTED_0158,V5DEV_039,COMPETITIVE,ORIGINAL,1,1953,1956,59.0,59.0,0.5
PRIMARY_TRUSTED_0159,V5DEV_040,COMPETITIVE,ORIGINAL,0,2000,1997,54.0,54.0,0.5
PRIMARY_TRUSTED_0160,V5DEV_051,PROJECT,ORIGINAL,0,2003,1998,55.0,63.0,0.0
PRIMARY_TRUSTED_0161,V5DEV_064,PROJECT,ORIGINAL,0,2003,1998,77.0,76.0,1.0
PRIMARY_TRUSTED_0162,V5DEV_075,PROJECT,ORIGINAL,1,1956,1960,41.0,35.0,1.0
PRIMARY_TRUSTED_0163,V5DEV_079,PROJECT,ORIGINAL,1,1989,1991,66.0,67.0,0.0
PRIMARY_TRUSTED_0164,V5DEV_080,PROJECT,ORIGINAL,1,2022,2023,68.0,62.0,1.0
PRIMARY_TRUSTED_0165,V5DEV_084,PROJECT,ORIGINAL,1,1982,1985,90.0,73.0,1.0
PRIMARY_TRUSTED_0166,V5DEV_084,PROJECT,ORIGINAL,0,1989,1985,66.0,73.0,0.0
PRIMARY_TRUSTED_0167,V5DEV_084,PROJECT,ORIGINAL,0,1990,1985,68.0,73.0,0.0
PRIMARY_TRUSTED_0168,V5DEV_090,PROJECT,ORIGINAL,0,1965,1960,75.0,73.0,1.0
PRIMARY_TRUSTED_0169,V5DEV_106,STATUS,ORIGINAL,1,1988,1993,78.0,88.0,0.0
PRIMARY_TRUSTED_0170,V5DEV_108,STATUS,ORIGINAL,1,1973,1974,67.0,62.0,1.0
