subject_id,name,pool,origin_group,gender,birth_date,birth_time,rodden_rating,birth_source_quality,career_positive_years,career_negative_years,events_total,high_conf_events,medium_conf_events,engine_birth_year_supported
MLV2_DEV_013,Billy Dee Williams,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,male,1937-04-06,21:51,AA,Rodden_AA_via_VedAstro,2,1,3,2,1,True
MLV2_DEV_014,Steve Prefontaine,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,male,1951-01-25,08:05,AA,Rodden_AA_via_VedAstro,1971|1973,1972,3,0,3,True
MLV2_DEV_015,Cameron Diaz,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,female,1972-08-30,02:53,AA,Rodden_AA_via_VedAstro,2,1,3,2,1,True
MLV2_DEV_016,Carson Daly,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,male,1973-06-22,09:06,AA,Rodden_AA_via_VedAstro,2,1,3,2,1,True
MLV2_DEV_017,Cher,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,female,1946-05-20,07:25,AA,Rodden_AA_via_VedAstro,2,1,3,2,1,True
MLV2_DEV_018,Cheech Marin,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,male,1946-07-13,13:00,AA,Rodden_AA_via_VedAstro,2,1,3,2,1,True
MLV2_DEV_019,Cindy Crawford,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,female,1966-02-20,14:08,AA,Rodden_AA_via_VedAstro,2,1,3,2,1,True
MLV2_DEV_020,Cindy Sherman,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,female,1954-01-19,04:27,AA,Rodden_AA_via_VedAstro,2,1,3,1,2,True
MLV2_DEV_021,Clint Eastwood,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,male,1930-05-31,17:35,AA,Rodden_AA_via_VedAstro,2,1,3,2,1,True
MLV2_DEV_022,Glenn Close,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,female,1947-03-19,14:12,AA,Rodden_AA_via_VedAstro,2,1,3,0,3,True
MLV2_DEV_023,Goldie Hawn,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,female,1945-11-21,09:20,AA,Rodden_AA_via_VedAstro,2,1,3,3,0,True
MLV2_DEV_024,Gonzalo Higuain,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,male,1987-12-10,06:30,AA,Rodden_AA_via_VedAstro,2,1,3,2,1,True
MLV2_DEV_025,Gwyneth Paltrow,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,female,1972-09-27,17:25,AA,Rodden_AA_via_VedAstro,2,1,3,2,1,True
MLV2_DEV_026,Helen Hunt,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,female,1963-06-15,12:55,AA,Rodden_AA_via_VedAstro,2,1,3,1,2,True
MLV2_DEV_027,Jamie Lee Curtis,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,female,1958-11-22,08:37,AA,Rodden_AA_via_VedAstro,2,1,3,3,0,True
MLV2_DEV_028,Jane Curtin,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,female,1947-09-06,14:00,AA,Rodden_AA_via_VedAstro,2,1,3,1,2,True
MLV2_DEV_029,Jeff Bagwell,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,male,1968-05-27,14:03,AA,Rodden_AA_via_VedAstro,2,1,3,3,0,True
MLV2_DEV_030,Jodie Foster,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,female,1962-11-19,08:14,AA,Rodden_AA_via_VedAstro,2,1,3,2,1,True
MLV2_DEV_031,Jon Bon Jovi,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,male,1962-03-02,20:45,AA,Rodden_AA_via_VedAstro,2,1,3,2,1,True
MLV2_DEV_032,Jon Huntsman,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,male,1960-03-26,11:58,AA,Rodden_AA_via_VedAstro,2,1,3,2,1,True
MLV2_DEV_033,Kevin Costner,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,male,1955-01-18,21:40,AA,Rodden_AA_via_VedAstro,2,1,3,2,1,True
MLV2_DEV_034,Kevin Kline,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,male,1947-10-24,09:11,AA,Rodden_AA_via_VedAstro,2,1,3,3,0,True
MLV2_DEV_035,Kirsten Dunst,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,female,1982-04-30,13:00,AA,Rodden_AA_via_VedAstro,2,1,3,2,1,True
MLV2_DEV_036,Laura Dern,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,female,1967-02-10,07:48,AA,Rodden_AA_via_VedAstro,2,1,3,2,1,True
MLV2_DEV_037,Laura Pausini,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,female,1974-05-16,17:00,AA,Rodden_AA_via_VedAstro,2,1,3,2,1,True
MLV2_DEV_038,Leonardo DiCaprio,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,male,1974-11-11,02:47,AA,Rodden_AA_via_VedAstro,2,1,3,2,1,True
MLV2_DEV_039,Leonardo Del Vecchio,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,male,1935-05-22,03:30,AA,Rodden_AA_via_VedAstro,2,1,3,2,1,True
MLV2_DEV_040,Lisa Kudrow,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,female,1963-07-30,04:37,AA,Rodden_AA_via_VedAstro,2,1,3,2,1,True
MLV2_DEV_041,Lisa Ling,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,female,1973-08-30,06:53,AA,Rodden_AA_via_VedAstro,2,1,3,2,1,True
MLV2_DEV_042,Mark Knopfler,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,male,1949-08-12,21:50,AA,Rodden_AA_via_VedAstro,2,1,3,2,1,True
MLV2_DEV_043,Mark Spitz,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,male,1950-02-10,17:45,AA,Rodden_AA_via_VedAstro,2,1,3,3,0,True
MLV2_DEV_044,Matthew McConaughey,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,male,1969-11-04,19:34,AA,Rodden_AA_via_VedAstro,2,1,3,2,1,True
MLV2_DEV_045,Michelle Pfeiffer,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,female,1958-04-29,08:11,AA,Rodden_AA_via_VedAstro,2,1,3,2,1,True
MLV2_DEV_046,Milton Nascimento,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,male,1942-10-26,18:00,AA,Rodden_AA_via_VedAstro,2,1,3,2,1,True
MLV2_DEV_047,Paul Molitor,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,male,1956-08-22,03:23,AA,Rodden_AA_via_VedAstro,2,1,3,3,0,True
MLV2_DEV_048,Robin Quivers,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,female,1952-08-08,05:30,AA,Rodden_AA_via_VedAstro,2,1,3,1,2,True
MLV2_DEV_049,Sally Field,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,female,1946-11-06,04:23,AA,Rodden_AA_via_VedAstro,2,1,3,2,1,True
MLV2_DEV_050,Sigourney Weaver,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,female,1949-10-08,18:15,AA,Rodden_AA_via_VedAstro,2,1,3,2,1,True
MLV2_DEV_051,Steve Martin,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,male,1945-08-14,05:54,AA,Rodden_AA_via_VedAstro,2,1,3,2,1,True
MLV2_DEV_052,Steve Miller,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,male,1943-10-05,10:31,AA,Rodden_AA_via_VedAstro,2,1,3,2,1,True
MLV2_DEV_053,Steve Perry,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,male,1949-01-22,18:05,AA,Rodden_AA_via_VedAstro,2,1,3,2,1,True
MLV2_DEV_054,Uma Thurman,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,female,1970-04-29,13:51,AA,Rodden_AA_via_VedAstro,2,1,3,3,0,True
MLV2_DEV_055,Umberto Eco,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,male,1932-01-05,18:30,AA,Rodden_AA_via_VedAstro,2,1,3,2,1,True
MLV2_DEV_056,Denzel Washington,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,male,1954-12-28,00:09,AA,Rodden_AA_via_VedAstro,2,1,3,2,1,True
MLV2_DEV_057,Diane Keaton,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,female,1946-01-05,02:49,AA,Rodden_AA_via_VedAstro,2,1,3,2,1,True
MLV2_DEV_058,George Takei,NEW_DEV,FRESH_V2_AA,male,1937-04-20,02:10,AA,Rodden_AA_via_VedAstro,2,1,3,2,1,True
MLV2_DEV_059,Angus Young,NEW_DEV,FRESH_V2_AA,male,1955-03-31,20:10,AA,Rodden_AA_via_VedAstro,2,2,4,2,2,True
MLV2_DEV_060,Serge Gainsbourg,NEW_DEV,FRESH_V2_AA,male,1928-04-02,04:55,AA,Rodden_AA_via_VedAstro,2,2,4,3,1,True
MLV2_DEV_061,Al Jarreau,NEW_DEV,FRESH_V2_AA,male,1940-03-12,01:20,AA,Rodden_AA_via_VedAstro,2,2,4,4,0,True
MLV2_DEV_062,Al Unser,NEW_DEV,FRESH_V2_AA,male,1939-05-29,08:10,AA,Rodden_AA_via_VedAstro,2,1,3,2,1,True
MLV2_DEV_063,John Krasinski,NEW_DEV,FRESH_V2_AA,male,1979-10-20,20:44,AA,Rodden_AA_via_VedAstro,2,1,3,2,1,True
MLV2_DEV_064,Steve Fossett,NEW_DEV,FRESH_V2_AA,male,1944-04-22,01:58,AA,Rodden_AA_via_VedAstro,2,2,4,4,0,True
MLV2_DEV_065,Ann Jillian,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,female,1950-01-29,14:19,AA,Rodden_AA_via_VedAstro,1983|1988,1991,3,0,3,True
MLV2_DEV_066,Mark Hamill,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,male,1951-09-25,14:43,AA,Rodden_AA_via_VedAstro,1977|2017,1980,3,2,1,True
MLV2_DEV_067,John Nash,NEW_DEV,FRESH_V2_AA,male,1928-06-13,07:00,AA,Rodden_AA_via_VedAstro,2,1,3,3,0,True
MLV2_DEV_068,Chris Evert,NEW_DEV,FRESH_V2_AA,female,1954-12-21,04:30,AA,Rodden_AA_via_VedAstro,2,1,3,2,1,True
MLV2_DEV_069,Roberta Flack,NEW_DEV,FRESH_V2_AA,female,1937-02-10,06:30,AA,Rodden_AA_via_VedAstro,2,2,4,3,1,True
MLV2_DEV_070,Steve Forbes,NEW_DEV,FRESH_V2_AA,male,1947-07-18,01:35,AA,Rodden_AA_via_VedAstro,2,2,4,3,1,True
MLV2_CFM_001,Steve Jobs,NEW_CONFIRM,FRESH_V2_AA,male,1955-02-24,19:15,AA,Rodden_AA_via_VedAstro,2,2,4,4,0,True
MLV2_CFM_002,Richard Nixon,NEW_CONFIRM,FRESH_V2_AA,male,1913-01-09,21:35,AA,Rodden_AA_via_VedAstro,2,2,4,4,0,True
MLV2_CFM_003,Jimmy Carter,NEW_CONFIRM,FRESH_V2_AA,male,1924-10-01,07:00,AA,Rodden_AA_via_VedAstro,2,2,4,4,0,True
MLV2_CFM_004,John McCain,NEW_CONFIRM,FRESH_V2_AA,male,1936-08-29,18:25,AA,Rodden_AA_via_VedAstro,2,2,4,4,0,True
MLV2_CFM_005,Muhammad Ali,NEW_CONFIRM,FRESH_V2_AA,male,1942-01-17,18:35,AA,Rodden_AA_via_VedAstro,2,2,4,4,0,True
MLV2_CFM_006,Serena Williams,NEW_CONFIRM,FRESH_V2_AA,female,1981-09-26,20:28,AA,Rodden_AA_via_VedAstro,2,2,4,3,1,True
MLV2_CFM_007,Venus Williams,NEW_CONFIRM,FRESH_V2_AA,female,1980-06-17,14:12,AA,Rodden_AA_via_VedAstro,2,2,4,3,1,True
MLV2_CFM_008,Steffi Graf,NEW_CONFIRM,FRESH_V2_AA,female,1969-06-14,04:40,AA,Rodden_AA_via_VedAstro,2,1,3,3,0,True
MLV2_CFM_009,Jimi Hendrix,NEW_CONFIRM,FRESH_V2_AA,male,1942-11-27,10:15,AA,Rodden_AA_via_VedAstro,2,1,3,3,0,True
MLV2_CFM_010,Richard Pryor,NEW_CONFIRM,FRESH_V2_AA,male,1940-12-01,13:02,AA,Rodden_AA_via_VedAstro,2,2,4,3,1,True
MLV2_CFM_011,Ryan Leaf,NEW_CONFIRM,FRESH_V2_AA,male,1976-05-15,09:59,AA,Rodden_AA_via_VedAstro,2,2,4,4,0,True
MLV2_CFM_012,Chris Noth,NEW_CONFIRM,FRESH_V2_AA,male,1954-11-13,00:59,AA,Rodden_AA_via_VedAstro,2,2,4,3,1,True
MLV2_CFM_013,Tatum O'Neal,NEW_CONFIRM,FRESH_V2_AA,female,1963-11-05,03:38,AA,Rodden_AA_via_VedAstro,2,2,4,2,2,True
MLV2_CFM_014,Chris Farley,NEW_CONFIRM,FRESH_V2_AA,male,1964-02-15,15:34,AA,Rodden_AA_via_VedAstro,2,1,3,3,0,True
MLV2_CFM_015,Roberto Benigni,NEW_CONFIRM,FRESH_V2_AA,male,1952-10-27,13:00,AA,Rodden_AA_via_VedAstro,2,2,4,3,1,True
MLV2_CFM_016,Steve Carell,NEW_CONFIRM,FRESH_V2_AA,male,1962-08-16,08:59,AA,Rodden_AA_via_VedAstro,2,2,4,3,1,True
MLV2_CFM_017,Angelina Jolie,NEW_CONFIRM,FRESH_V2_AA,female,1975-06-04,09:09,AA,Rodden_AA_via_VedAstro,2,2,4,3,1,True
MLV2_CFM_018,Tom Hanks,NEW_CONFIRM,FRESH_V2_AA,male,1956-07-09,11:17,AA,Rodden_AA_via_VedAstro,2,2,4,3,1,True
MLV2_CFM_019,John Fogerty,NEW_CONFIRM,FRESH_V2_AA,male,1945-05-28,19:28,AA,Rodden_AA_via_VedAstro,2,2,4,3,1,True
MLV2_CFM_020,Emeril Lagasse,NEW_CONFIRM,FRESH_V2_AA,male,1959-10-15,07:40,AA,Rodden_AA_via_VedAstro,2,2,4,3,1,True
MLV2_CFM_021,Raquel Welch,NEW_CONFIRM,FRESH_V2_AA,female,1940-09-05,14:04,AA,Rodden_AA_via_VedAstro,2,1,3,3,0,True
MLV2_CFM_022,Ted Danson,NEW_CONFIRM,FRESH_V2_AA,male,1947-12-29,22:58,AA,Rodden_AA_via_VedAstro,2,2,4,3,1,True
MLV2_CFM_023,Al Pacino,NEW_CONFIRM,FRESH_V2_AA,male,1940-04-25,11:02,AA,Rodden_AA_via_VedAstro,2,2,4,4,0,True
MLV2_CFM_024,George W. Bush,NEW_CONFIRM,FRESH_V2_AA,male,1946-07-06,07:26,AA,Rodden_AA_via_VedAstro,2,2,4,3,1,True
MLV2_CFM_025,Elvis Presley,NEW_CONFIRM,FRESH_V2_AA,male,1935-01-08,04:35,AA,Rodden_AA_via_VedAstro,2,2,4,3,1,True
MLV2_CFM_026,Steve Wozniak,NEW_CONFIRM,FRESH_V2_AA,male,1950-08-11,09:45,AA,Rodden_AA_via_VedAstro,2,2,4,3,1,True
MLV2_CFM_027,Jimmy Connors,NEW_CONFIRM,FRESH_V2_AA,male,1952-09-02,10:30,AA,Rodden_AA_via_VedAstro,2,2,4,2,2,True
MLV2_CFM_028,Chris Evans,NEW_CONFIRM,FRESH_V2_AA,male,1981-06-13,18:16,AA,Rodden_AA_via_VedAstro,2,2,4,2,2,True
MLV2_CFM_029,Taylor Hackford,NEW_CONFIRM,FRESH_V2_AA,male,1944-12-31,21:04,AA,Rodden_AA_via_VedAstro,2,2,4,2,2,True
MLV2_CFM_030,Patrick Roy,NEW_CONFIRM,FRESH_V2_AA,male,1965-10-05,11:07,AA,Rodden_AA_via_VedAstro,2,2,4,3,1,True
