C,l1_ratio,inner_macro,inner_p10,repeat,fold
0.1,0.75,0.9502923976608186,0.8807017543859648,1,4
0.03,1.0,0.6666666666666666,0.2,1,4
1.0,0.25,0.42975576195390436,0.3806604747162023,1,4
1.0,1.0,0.42055383556931547,0.3456140350877193,1,4
1.0,0.5,0.400343997248022,0.3836326109391125,1,4
0.3,0.25,0.39841761265909875,0.38953560371517026,1,4
0.1,0.25,0.3931372549019608,0.3631578947368421,1,4
0.1,0.5,0.3930856553147574,0.1855108359133127,1,4
0.3,1.0,0.38336773305813554,0.3385964912280702,1,4
0.3,0.5,0.3792397660818714,0.31456140350877193,1,4
0.3,0.75,0.36372549019607847,0.32437564499484006,1,4
1.0,0.75,0.3631922944616443,0.32604747162022707,1,4
0.03,0.5,0.6666666666666666,0.2,2,0
0.03,0.75,0.6666666666666666,0.2,2,0
0.03,1.0,0.6666666666666666,0.2,2,0
0.1,1.0,0.6666666666666666,0.2,2,0
0.03,0.25,0.5925925925925926,0.15555555555555556,2,0
0.1,0.75,0.5925925925925926,0.15555555555555556,2,0
0.3,0.5,0.5310266406757634,0.4238791423001949,2,0
1.0,0.25,0.5224171539961014,0.44502923976608183,2,0
0.3,0.75,0.5139701104613386,0.38732943469785575,2,0
1.0,0.5,0.5058479532163743,0.3526315789473684,2,0
0.1,0.25,0.5051981806367771,0.4504873294346978,2,0
1.0,0.75,0.503411306042885,0.39415204678362575,2,0
0.3,1.0,0.4983755685510072,0.4311890838206628,2,0
0.1,0.5,0.48927875243664715,0.4350877192982456,2,0
0.3,0.25,0.48505523066926576,0.3699805068226121,2,0
1.0,1.0,0.4580896686159844,0.36520467836257314,2,0
0.1,0.75,0.4425925925925926,0.1488888888888889,2,1
1.0,0.75,0.44256010396361267,0.38473684210526315,2,1
1.0,1.0,0.44256010396361267,0.38473684210526315,2,1
0.3,0.75,0.43671215074723846,0.3540350877192982,2,1
1.0,0.25,0.42975958414554905,0.37475633528265107,2,1
0.1,0.25,0.4185510071474983,0.3319298245614035,2,1
1.0,0.5,0.41338531513970106,0.37321637426900584,2,1
0.3,0.5,0.3897985705003249,0.31017543859649127,2,1
0.3,0.25,0.38362573099415204,0.33239766081871347,2,1
0.03,0.25,0.3796296296296296,0.02777777777777778,2,1
0.3,1.0,0.36474983755685514,0.2683625730994152,2,1
0.03,0.5,0.3333333333333333,0.0,2,1
0.03,0.75,0.3333333333333333,0.0,2,1
0.03,1.0,0.3333333333333333,0.0,2,1
0.1,1.0,0.3333333333333333,0.0,2,1
0.1,0.5,0.3254710851202079,0.3049122807017544,2,1
0.3,0.75,0.47115009746588693,0.45444444444444443,2,2
1.0,0.5,0.4350877192982456,0.39883040935672515,2,2
0.3,1.0,0.42534113060428846,0.39888888888888885,2,2
0.3,0.25,0.42534113060428846,0.3788888888888889,2,2
0.3,0.5,0.4248538011695906,0.36,2,2
0.1,0.25,0.4243664717348928,0.3544444444444444,2,2
1.0,1.0,0.38927875243664717,0.36777777777777776,2,2
1.0,0.25,0.38557504873294346,0.32690058479532164,2,2
1.0,0.75,0.3800194931773879,0.32690058479532164,2,2
0.1,0.5,0.37059779077322935,0.2768421052631579,2,2
0.03,0.25,0.3333333333333333,0.0,2,2
0.03,0.5,0.3333333333333333,0.0,2,2
0.03,0.75,0.3333333333333333,0.0,2,2
0.03,1.0,0.3333333333333333,0.0,2,2
0.1,0.75,0.3333333333333333,0.0,2,2
0.1,1.0,0.3333333333333333,0.0,2,2
0.3,1.0,0.5951429499675113,0.5157407407407407,2,3
1.0,0.25,0.5826510721247563,0.55,2,3
0.3,0.75,0.5789961013645225,0.5316569200779727,2,3
0.3,0.5,0.5785087719298246,0.5361111111111111,2,3
0.1,0.25,0.573879142300195,0.5333333333333333,2,3
0.1,0.5,0.565009746588694,0.39861598440545815,2,3
0.3,0.25,0.5558479532163743,0.538888888888889,2,3
1.0,0.5,0.5373294346978558,0.5,2,3
1.0,0.75,0.5351364522417154,0.46673489278752434,2,3
1.0,1.0,0.5244152046783626,0.5194444444444445,2,3
0.1,0.75,0.520012995451592,0.20358674463937623,2,3
0.03,0.25,0.37719298245614036,0.02631578947368421,2,3
0.03,0.5,0.3333333333333333,0.0,2,3
