repeat,fold,pair_id,subject_id,axis,candidate_margin,candidate_correct,control_margin,control_correct
3,2,V4UD_039_P01,V4UD_039,PROJECT,-0.1872945207559307,0.0,7.0,1.0
3,2,V4UD_033_P01,V4UD_033,PROJECT,0.2505753257562567,1.0,-9.0,0.0
3,2,V4UD_051_P01,V4UD_051,PROJECT,2.2141591444190993,1.0,-2.0,0.0
3,2,V4UD_053_P01,V4UD_053,PROJECT,-0.8656019555088083,0.0,0.0,0.0
3,2,V4UD_063_P01,V4UD_063,STATUS,-0.32692988920074634,0.0,0.0,0.0
3,2,V4UD_082_P01,V4UD_082,STATUS,-2.5269259037422547,0.0,1.0,1.0
3,2,V4UD_093_P01,V4UD_093,STATUS,2.5288486450670224,1.0,-5.0,0.0
3,2,V4UD_098_P01,V4UD_098,STATUS,-0.03174670868400183,0.0,7.0,1.0
3,2,V4UDW2_003_P01,V4UDW2_003,COMPETITIVE,-0.1804391552364225,0.0,-1.0,0.0
3,2,V4UDW2_007_P01,V4UDW2_007,PROJECT,-1.3676770949238297,0.0,20.0,1.0
3,2,V4UDW2_018_P01,V4UDW2_018,STATUS,3.1631623391771813,1.0,-7.0,0.0
3,2,V4UDW2_020_P01,V4UDW2_020,STATUS,0.119319765273278,1.0,8.0,1.0
3,2,V4UDW2_021_P01,V4UDW2_021,STATUS,-0.9892746614072652,0.0,1.0,1.0
3,2,V4UDW2_030_P01,V4UDW2_030,STATUS,-0.15351934763100955,0.0,0.0,0.0
3,2,V4UDW2_044_P01,V4UDW2_044,STATUS,0.6343335194999946,1.0,-2.0,0.0
3,3,V4UD_013_P01,V4UD_013,COMPETITIVE,-0.9480902705068497,0.0,10.0,1.0
3,3,V4UD_016_P01,V4UD_016,COMPETITIVE,0.5881502692410099,1.0,-1.0,0.0
3,3,V4UD_004_P01,V4UD_004,COMPETITIVE,0.088956439116965,1.0,6.0,1.0
3,3,V4UD_026_P01,V4UD_026,COMPETITIVE,0.03371477011215598,1.0,2.0,1.0
3,3,V4UD_006_P01,V4UD_006,COMPETITIVE,0.7633322258199766,1.0,-2.0,0.0
3,3,V4UD_030_P01,V4UD_030,COMPETITIVE,-0.07189252904653413,0.0,-12.0,0.0
3,3,V4UD_032_P01,V4UD_032,PROJECT,-1.2906159866362419,0.0,2.0,1.0
3,3,V4UD_043_P01,V4UD_043,PROJECT,0.8277721259094432,1.0,-12.0,0.0
3,3,V4UD_052_P01,V4UD_052,PROJECT,-1.0642230027636281,0.0,1.0,1.0
3,3,V4UD_055_P01,V4UD_055,PROJECT,-0.3896788846425933,0.0,18.0,1.0
3,3,V4UD_057_P01,V4UD_057,STATUS,0.12120012208940632,1.0,0.0,0.0
3,3,V4UD_060_P01,V4UD_060,STATUS,1.2820878625155703,1.0,-11.0,0.0
3,3,V4UD_074_P01,V4UD_074,STATUS,0.26738925277879416,1.0,2.0,1.0
3,3,V4UD_076_P01,V4UD_076,STATUS,0.3429921826980214,1.0,-1.0,0.0
3,3,V4UD_080_P01,V4UD_080,STATUS,1.1447888391078038,1.0,3.0,1.0
3,3,V4UD_088_P01,V4UD_088,STATUS,0.6857454104086954,1.0,-7.0,0.0
3,3,V4UDW2_009_P01,V4UDW2_009,PROJECT,-0.43682605573722266,0.0,-8.0,0.0
3,3,V4UDW2_022_P01,V4UDW2_022,STATUS,1.3600185648416343,1.0,8.0,1.0
3,3,V4UDW2_029_P01,V4UDW2_029,STATUS,-0.34314303077578895,0.0,5.0,1.0
3,3,V4UDW2_034_P01,V4UDW2_034,STATUS,-1.7195648490984674,0.0,-1.0,0.0
3,4,V4UD_002_P01,V4UD_002,COMPETITIVE,-0.8595209307617774,0.0,-3.0,0.0
3,4,V4UD_003_P01,V4UD_003,COMPETITIVE,0.16363199996593705,1.0,-4.0,0.0
3,4,V4UD_020_P01,V4UD_020,COMPETITIVE,0.052627750864631985,1.0,6.0,1.0
3,4,V4UD_022_P01,V4UD_022,COMPETITIVE,-0.9534529728314678,0.0,-3.0,0.0
3,4,V4UD_024_P01,V4UD_024,COMPETITIVE,0.26182780424677393,1.0,20.0,1.0
3,4,V4UD_036_P01,V4UD_036,PROJECT,-1.56363415660459,0.0,5.0,1.0
3,4,V4UD_038_P01,V4UD_038,PROJECT,0.6560685624295337,1.0,-1.0,0.0
3,4,V4UD_044_P01,V4UD_044,PROJECT,0.3444371316453319,1.0,3.0,1.0
3,4,V4UD_050_P01,V4UD_050,PROJECT,0.8186472288575027,1.0,-10.0,0.0
3,4,V4UD_066_P01,V4UD_066,STATUS,-1.0479822438834006,0.0,7.0,1.0
3,4,V4UD_077_P01,V4UD_077,STATUS,-1.9514440050629869,0.0,-11.0,0.0
3,4,V4UD_081_P01,V4UD_081,STATUS,-0.22274081406413196,0.0,4.0,1.0
3,4,V4UD_083_P01,V4UD_083,STATUS,-0.2662627597255232,0.0,12.0,1.0
3,4,V4UD_085_P01,V4UD_085,STATUS,-0.43201026357888916,0.0,1.0,1.0
3,4,V4UDW2_002_P01,V4UDW2_002,COMPETITIVE,-0.21198176278080136,0.0,-1.0,0.0
3,4,V4UDW2_006_P01,V4UDW2_006,PROJECT,1.3731552100500135,1.0,14.0,1.0
3,4,V4UDW2_013_P01,V4UDW2_013,STATUS,0.8272101888641709,1.0,11.0,1.0
3,4,V4UDW2_016_P01,V4UDW2_016,STATUS,-0.3524886129515769,0.0,-3.0,0.0
3,4,V4UDW2_019_P01,V4UDW2_019,STATUS,-1.1816804861010834,0.0,-6.0,0.0
3,4,V4UDW2_040_P01,V4UDW2_040,STATUS,-0.1749809574309192,0.0,11.0,1.0
4,0,V4UD_007_P01,V4UD_007,COMPETITIVE,0.913973201178449,1.0,0.0,0.0
4,0,V4UD_001_P01,V4UD_001,COMPETITIVE,-1.4853456573189194,0.0,9.0,1.0
4,0,V4UD_012_P01,V4UD_012,COMPETITIVE,0.13609913028929654,1.0,5.0,1.0
4,0,V4UD_021_P01,V4UD_021,COMPETITIVE,-1.3601638855917457,0.0,5.0,1.0
4,0,V4UD_026_P01,V4UD_026,COMPETITIVE,-0.07413848097809031,0.0,2.0,1.0
4,0,V4UD_006_P01,V4UD_006,COMPETITIVE,1.1170448464510638,1.0,-2.0,0.0
4,0,V4UD_027_P01,V4UD_027,COMPETITIVE,-0.4300706466414057,0.0,-3.0,0.0
4,0,V4UD_039_P01,V4UD_039,PROJECT,0.34790546352981677,1.0,7.0,1.0
4,0,V4UD_031_P01,V4UD_031,PROJECT,-0.334928537188613,0.0,3.0,1.0
4,0,V4UD_043_P01,V4UD_043,PROJECT,0.5901966254114489,1.0,-12.0,0.0
4,0,V4UD_077_P01,V4UD_077,STATUS,-2.8562322045893813,0.0,-11.0,0.0
4,0,V4UD_081_P01,V4UD_081,STATUS,0.37686857244479327,1.0,4.0,1.0
4,0,V4UD_083_P01,V4UD_083,STATUS,0.20759009188716282,1.0,12.0,1.0
4,0,V4UD_084_P01,V4UD_084,STATUS,1.8095348613496547,1.0,2.0,1.0
4,0,V4UD_089_P01,V4UD_089,STATUS,-0.6982279880199431,0.0,-11.0,0.0
4,0,V4UD_098_P01,V4UD_098,STATUS,0.24539437219739235,1.0,7.0,1.0
4,0,V4UDW2_005_P01,V4UDW2_005,PROJECT,-0.6646108196232133,0.0,3.0,1.0
4,0,V4UDW2_007_P01,V4UDW2_007,PROJECT,-2.1958982168787857,0.0,20.0,1.0
4,0,V4UDW2_020_P01,V4UDW2_020,STATUS,-0.17220860625200266,0.0,8.0,1.0
4,0,V4UDW2_026_P01,V4UDW2_026,STATUS,0.655585066171879,1.0,-1.0,0.0
4,0,V4UDW2_029_P01,V4UDW2_029,STATUS,1.165007946487322,1.0,5.0,1.0
4,1,V4UD_010_P01,V4UD_010,COMPETITIVE,-0.10178256171053256,0.0,-1.0,0.0
4,1,V4UD_002_P01,V4UD_002,COMPETITIVE,-0.23986788240587023,0.0,-3.0,0.0
4,1,V4UD_014_P01,V4UD_014,COMPETITIVE,-0.16323893662410535,0.0,5.0,1.0
4,1,V4UD_018_P01,V4UD_018,COMPETITIVE,0.458607323355725,1.0,-2.0,0.0
4,1,V4UD_004_P01,V4UD_004,COMPETITIVE,0.011772469243993125,1.0,6.0,1.0
4,1,V4UD_024_P01,V4UD_024,COMPETITIVE,1.0474153254943461,1.0,20.0,1.0
4,1,V4UD_038_P01,V4UD_038,PROJECT,0.6837784807292724,1.0,-1.0,0.0
4,1,V4UD_033_P01,V4UD_033,PROJECT,0.22788136735547296,1.0,-9.0,0.0
4,1,V4UD_054_P01,V4UD_054,PROJECT,-0.5735788297272517,0.0,4.0,1.0
4,1,V4UD_060_P01,V4UD_060,STATUS,-0.8032508617035946,0.0,-11.0,0.0
4,1,V4UD_069_P01,V4UD_069,STATUS,0.9218763053330763,1.0,-15.0,0.0
4,1,V4UD_074_P01,V4UD_074,STATUS,0.41450085805524145,1.0,2.0,1.0
4,1,V4UD_078_P01,V4UD_078,STATUS,0.9431014804885736,1.0,-17.0,0.0
4,1,V4UD_082_P01,V4UD_082,STATUS,-0.593091604229219,0.0,1.0,1.0
4,1,V4UD_085_P01,V4UD_085,STATUS,-1.0352551140112114,0.0,1.0,1.0
4,1,V4UD_092_P01,V4UD_092,STATUS,-0.21768839362215117,0.0,2.0,1.0
