C,inner_balanced_macro,inner_p10,repeat,fold,model
0.3,0.66242784992785,0.5672077922077922,1,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.1,0.6162217412217412,0.49678932178932184,1,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.03,0.5573893698893698,0.4091630591630592,1,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.01,0.5431397306397306,0.44877344877344877,1,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.003,0.5393518518518517,0.4682539682539682,1,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.1,0.5606661856661858,0.47444805194805195,1,1,TG10_SHARED_RIDGE_BALANCED
3.0,0.5565476190476191,0.4833333333333334,1,1,TG10_SHARED_RIDGE_BALANCED
1.0,0.5534271284271285,0.4772727272727273,1,1,TG10_SHARED_RIDGE_BALANCED
0.3,0.5518819143819144,0.48205627705627707,1,1,TG10_SHARED_RIDGE_BALANCED
0.03,0.5323472823472825,0.46707792207792215,1,1,TG10_SHARED_RIDGE_BALANCED
0.01,0.5101070226070227,0.4469155844155845,1,1,TG10_SHARED_RIDGE_BALANCED
0.003,0.5082551707551707,0.43858225108225113,1,1,TG10_SHARED_RIDGE_BALANCED
3.0,0.6450036075036074,0.549025974025974,1,1,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
1.0,0.5630230880230881,0.4507792207792208,1,1,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.3,0.5539953102453102,0.4495887445887446,1,1,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.1,0.546079846079846,0.4532106782106782,1,1,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.03,0.5142195767195767,0.43726190476190474,1,1,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.003,0.5082551707551707,0.43858225108225113,1,1,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.01,0.49206950456950455,0.4412445887445888,1,1,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.03,0.5395502645502646,0.4504761904761905,1,2,TG10_SHARED_RIDGE_BALANCED
0.1,0.5380392755392757,0.4737545787545787,1,2,TG10_SHARED_RIDGE_BALANCED
1.0,0.5372863247863248,0.4382051282051282,1,2,TG10_SHARED_RIDGE_BALANCED
0.01,0.5296398046398046,0.4545299145299145,1,2,TG10_SHARED_RIDGE_BALANCED
0.003,0.5275564713064713,0.44952991452991453,1,2,TG10_SHARED_RIDGE_BALANCED
0.3,0.5212912087912088,0.43956043956043955,1,2,TG10_SHARED_RIDGE_BALANCED
3.0,0.4906593406593407,0.4310622710622711,1,2,TG10_SHARED_RIDGE_BALANCED
3.0,0.6545227920227921,0.599023199023199,1,2,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
1.0,0.6402370777370777,0.6033089133089133,1,2,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.3,0.624455636955637,0.6011111111111112,1,2,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.1,0.5693426943426942,0.5169230769230769,1,2,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.01,0.5492063492063491,0.4688888888888888,1,2,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.003,0.5424603174603174,0.4622222222222222,1,2,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.03,0.5403846153846154,0.4720879120879121,1,2,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.01,0.5830459355459356,0.4793968253968254,1,3,TG10_SHARED_RIDGE_BALANCED
0.003,0.5632046657046657,0.4758253968253968,1,3,TG10_SHARED_RIDGE_BALANCED
0.1,0.5468987493987494,0.42987301587301585,1,3,TG10_SHARED_RIDGE_BALANCED
0.3,0.5467544492544493,0.4204177489177489,1,3,TG10_SHARED_RIDGE_BALANCED
0.03,0.5330098605098605,0.442968253968254,1,3,TG10_SHARED_RIDGE_BALANCED
1.0,0.5153691678691679,0.407015873015873,1,3,TG10_SHARED_RIDGE_BALANCED
3.0,0.4629088504088504,0.3322294372294372,1,3,TG10_SHARED_RIDGE_BALANCED
3.0,0.7505399230399231,0.7163239538239538,1,3,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
1.0,0.7263335738335739,0.6992380952380952,1,3,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.3,0.6411604136604138,0.5692380952380953,1,3,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.1,0.6077513227513228,0.5537380952380953,1,3,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.003,0.5729449254449254,0.4793968253968254,1,3,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.01,0.5652068302068302,0.4977301587301587,1,3,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.03,0.5451310726310726,0.5390865800865801,1,3,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
1.0,0.5507691382691383,0.5411965811965812,1,4,TG10_SHARED_RIDGE_BALANCED
0.3,0.5460793835793836,0.5319336219336219,1,4,TG10_SHARED_RIDGE_BALANCED
3.0,0.5406681281681281,0.5367854367854367,1,4,TG10_SHARED_RIDGE_BALANCED
0.03,0.5360264735264735,0.5247294372294371,1,4,TG10_SHARED_RIDGE_BALANCED
0.1,0.5345714470714471,0.5005661005661005,1,4,TG10_SHARED_RIDGE_BALANCED
0.01,0.5191613941613942,0.49450549450549447,1,4,TG10_SHARED_RIDGE_BALANCED
0.003,0.5070808820808821,0.4923076923076923,1,4,TG10_SHARED_RIDGE_BALANCED
