feature_set,repeat,seed,n_subjects,macro_pairwise,subject_hit_rate,median_sep
B_NO_HIDDEN,42,20260857,23,0.592615596963423,0.6956521739130435,0.8807128209844413
B_NO_HIDDEN,43,20260858,23,0.5362663906142167,0.5652173913043478,0.34376470190196085
B_NO_HIDDEN,44,20260859,23,0.478847481021394,0.5217391304347826,0.14072428106856627
B_NO_HIDDEN,45,20260860,23,0.4897170462387853,0.5217391304347826,0.37168548160715154
B_NO_HIDDEN,46,20260861,23,0.6244306418219462,0.6956521739130435,1.2452297059886925
B_NO_HIDDEN,47,20260862,23,0.6359558316080056,0.6956521739130435,1.0212083305849258
B_NO_HIDDEN,48,20260863,23,0.6249482401656313,0.7391304347826086,1.5755353359068178
B_NO_HIDDEN,49,20260864,23,0.5810213940648723,0.6521739130434783,0.7609206443961642
B_ORIGINAL,0,20260815,23,0.5765010351966874,0.6956521739130435,1.2024792413172716
B_ORIGINAL,1,20260816,23,0.5691166321601103,0.6086956521739131,0.7951207600961552
B_ORIGINAL,2,20260817,23,0.5674258109040717,0.6521739130434783,0.6674199542863999
B_ORIGINAL,3,20260818,23,0.5587301587301587,0.6086956521739131,0.4383217057809947
B_ORIGINAL,4,20260819,23,0.5336783988957902,0.6086956521739131,0.7336451632269203
B_ORIGINAL,5,20260820,23,0.5544513457556935,0.6086956521739131,0.4969781099509878
B_ORIGINAL,6,20260821,23,0.6555900621118013,0.7391304347826086,1.4314807002805296
B_ORIGINAL,7,20260822,23,0.6006901311249137,0.7391304347826086,1.0225239058510707
B_ORIGINAL,8,20260823,23,0.5925465838509317,0.6521739130434783,1.8123361913086207
B_ORIGINAL,9,20260824,23,0.4675983436853001,0.5652173913043478,0.1521905050426957
B_ORIGINAL,10,20260825,23,0.577087646652864,0.6086956521739131,0.7044681787806593
B_ORIGINAL,11,20260826,23,0.5181504485852312,0.6086956521739131,1.0009814394924552
B_ORIGINAL,12,20260827,23,0.5402346445824707,0.5652173913043478,0.1965916026706907
B_ORIGINAL,13,20260828,23,0.5274672187715667,0.5652173913043478,0.3603561447942645
B_ORIGINAL,14,20260829,23,0.5742581090407177,0.6086956521739131,1.5800913015547773
B_ORIGINAL,15,20260830,23,0.6577639751552795,0.782608695652174,1.3063351746207028
B_ORIGINAL,16,20260831,23,0.5775707384403036,0.7391304347826086,0.9433304058349936
B_ORIGINAL,17,20260832,23,0.6087991718426501,0.4782608695652174,-0.10112922146466358
B_ORIGINAL,18,20260833,23,0.5779503105590063,0.6521739130434783,1.2213584752468853
B_ORIGINAL,19,20260834,23,0.5625258799171843,0.6521739130434783,0.7391036213741431
B_ORIGINAL,20,20260835,23,0.4291580400276052,0.5217391304347826,0.11572827483040893
B_ORIGINAL,21,20260836,23,0.5573498964803312,0.6521739130434783,1.1063189278746626
B_ORIGINAL,22,20260837,23,0.5485162180814355,0.6086956521739131,0.4507196940826126
B_ORIGINAL,23,20260838,23,0.5953416149068324,0.6521739130434783,1.2031260834046593
B_ORIGINAL,24,20260839,23,0.6482746721877156,0.782608695652174,1.8221937812516231
B_ORIGINAL,25,20260840,23,0.5980331262939957,0.6956521739130435,0.9505512686057974
B_ORIGINAL,26,20260841,23,0.6085576259489303,0.6956521739130435,1.7505332059990055
B_ORIGINAL,27,20260842,23,0.54824016563147,0.4782608695652174,-0.010488710294976073
B_ORIGINAL,28,20260843,23,0.5667701863354037,0.6086956521739131,0.5927994337271727
B_ORIGINAL,29,20260844,23,0.5473084886128364,0.5652173913043478,1.0326502996018454
B_ORIGINAL,30,20260845,23,0.5757763975155279,0.7391304347826086,1.2974158907735718
B_ORIGINAL,31,20260846,23,0.6428916494133886,0.7391304347826086,1.2426710671782877
B_ORIGINAL,32,20260847,23,0.6052449965493444,0.6521739130434783,1.2499203676519857
B_ORIGINAL,33,20260848,23,0.5977225672877846,0.6521739130434783,0.9812532304491135
B_ORIGINAL,34,20260849,23,0.5370600414078676,0.6086956521739131,0.5117161998716635
B_ORIGINAL,35,20260850,23,0.5537267080745342,0.6086956521739131,0.24990547515734207
B_ORIGINAL,36,20260851,23,0.6328502415458938,0.6956521739130435,1.4148478410784155
B_ORIGINAL,37,20260852,23,0.6337819185645273,0.6956521739130435,1.2185833017250967
B_ORIGINAL,38,20260853,23,0.6489993098688751,0.7391304347826086,1.3459139154834372
B_ORIGINAL,39,20260854,23,0.5246031746031745,0.5652173913043478,1.333970846439104
B_ORIGINAL,40,20260855,23,0.5494824016563148,0.6956521739130435,0.6540469912745834
B_ORIGINAL,41,20260856,23,0.5630089717046238,0.6521739130434783,0.4758981295093304
B_ORIGINAL,42,20260857,23,0.592615596963423,0.6956521739130435,0.8807128209842222
B_ORIGINAL,43,20260858,23,0.5362663906142167,0.5652173913043478,0.34376470190198305
B_ORIGINAL,44,20260859,23,0.478847481021394,0.5217391304347826,0.14072428107050416
B_ORIGINAL,45,20260860,23,0.4897170462387853,0.5217391304347826,0.3716854816071512
B_ORIGINAL,46,20260861,23,0.6244306418219462,0.6956521739130435,1.2452297059886874
B_ORIGINAL,47,20260862,23,0.6359558316080056,0.6956521739130435,1.0212083305849249
B_ORIGINAL,48,20260863,23,0.6249482401656313,0.7391304347826086,1.575535335906822
B_ORIGINAL,49,20260864,23,0.5810213940648723,0.6521739130434783,0.7609206443961638
C_PLUS_RELATIONS,0,20260815,23,0.5516218081435472,0.6521739130434783,0.3340641430546172
C_PLUS_RELATIONS,1,20260816,23,0.5950310559006211,0.6086956521739131,0.9934966809485705
C_PLUS_RELATIONS,2,20260817,23,0.5092822636300898,0.6086956521739131,0.8831165350694509
C_PLUS_RELATIONS,3,20260818,23,0.48247066942719113,0.5217391304347826,0.02429566296316188
C_PLUS_RELATIONS,4,20260819,23,0.5267425810904072,0.5217391304347826,0.48919124412664017
C_PLUS_RELATIONS,5,20260820,23,0.4967218771566597,0.4782608695652174,-0.16195056052302603
C_PLUS_RELATIONS,6,20260821,23,0.6285369220151829,0.6086956521739131,0.40601497241895823
C_PLUS_RELATIONS,7,20260822,23,0.5791235334713596,0.6521739130434783,0.8834683681974833
C_PLUS_RELATIONS,8,20260823,23,0.6046928916494135,0.5217391304347826,0.5017789140152049
C_PLUS_RELATIONS,9,20260824,23,0.47677708764665283,0.5217391304347826,0.13746574693869218
C_PLUS_RELATIONS,10,20260825,23,0.621566597653554,0.6521739130434783,0.7817567707650065
C_PLUS_RELATIONS,11,20260826,23,0.5439958592132504,0.5217391304347826,0.11694130797294466
C_PLUS_RELATIONS,12,20260827,23,0.5238095238095238,0.5217391304347826,0.21321785415580896
C_PLUS_RELATIONS,13,20260828,23,0.4803657694962043,0.5217391304347826,0.5435495109286332
C_PLUS_RELATIONS,14,20260829,23,0.4880952380952381,0.5217391304347826,0.638922326343781
C_PLUS_RELATIONS,15,20260830,23,0.6195307108350586,0.6086956521739131,0.4134087464132794
C_PLUS_RELATIONS,16,20260831,23,0.5295721187025535,0.6956521739130435,0.24569849112273157
C_PLUS_RELATIONS,17,20260832,23,0.561456176673568,0.43478260869565216,-0.20822821558116766
C_PLUS_RELATIONS,18,20260833,23,0.5355072463768116,0.6086956521739131,0.41987006160908624
C_PLUS_RELATIONS,19,20260834,23,0.542063492063492,0.5652173913043478,0.7021501222015842
