selection_method,feature,family,outer_folds_selected,mean_value,mean_stability_frequency,outer_selection_rate
ELASTICNET_AUTO,basic__dw_stem_癸,basic,1,-0.09288598242999338,,0.06666666666666667
ELASTICNET_AUTO,shinsal__dw_gongmang_unseong,shinsal,1,-0.10136918274061041,,0.06666666666666667
ELASTICNET_AUTO,shinsal__dw_gongmang_yfit_branch,shinsal,1,-0.04498175435295808,,0.06666666666666667
ELASTICNET_AUTO,unseong__dw_raw_score,unseong,1,0.14054044470162913,,0.06666666666666667
STABILITY_SELECTED,basic__dw_stem_甲,basic,14,,0.8028571428571428,0.9333333333333333
STABILITY_SELECTED,shinsal__dw_신살_흉살__과숙_,shinsal,13,,0.9138461538461538,0.8666666666666667
STABILITY_SELECTED,tengod__sw_group_output,tengod,13,,0.8646153846153847,0.8666666666666667
STABILITY_SELECTED,tengod__sw_group_resource,tengod,12,,0.8533333333333334,0.8
STABILITY_SELECTED,tengod__dw_group_output,tengod,12,,0.75,0.8
STABILITY_SELECTED,shinsal__sw_세운_신살_흉살__양인_,shinsal,11,,0.9127272727272726,0.7333333333333333
STABILITY_SELECTED,unseong__sw_state_제왕,unseong,11,,0.9127272727272726,0.7333333333333333
STABILITY_SELECTED,unseong__sw_state_양,unseong,11,,0.8109090909090909,0.7333333333333333
STABILITY_SELECTED,unseong__sw_state_묘,unseong,10,,0.8560000000000001,0.6666666666666666
STABILITY_SELECTED,basic__sw_stem_庚,basic,9,,0.8222222222222223,0.6
STABILITY_SELECTED,relation__sw_branch_combine_natal,relation,9,,0.7555555555555555,0.6
STABILITY_SELECTED,relation__sw_stem_combine_natal,relation,7,,0.92,0.4666666666666667
STABILITY_SELECTED,shinsal__dw_신살_길신__count,shinsal,7,,0.8114285714285714,0.4666666666666667
STABILITY_SELECTED,yongshin__sw_supplies_fav,yongshin,7,,0.7657142857142858,0.4666666666666667
STABILITY_SELECTED,shinsal__dw_신살_길신__천희_,shinsal,7,,0.7257142857142858,0.4666666666666667
STABILITY_SELECTED,shinsal__sw_세운_신살_길신__장성_,shinsal,7,,0.7142857142857143,0.4666666666666667
STABILITY_SELECTED,unseong__sw_raw_score,unseong,6,,0.8333333333333334,0.4
STABILITY_SELECTED,basic__dw_branch_戌,basic,6,,0.82,0.4
STABILITY_SELECTED,unseong__dw_state_절,unseong,6,,0.7933333333333333,0.4
STABILITY_SELECTED,shinsal__dw_신살_흉살__고진_,shinsal,6,,0.7799999999999999,0.4
STABILITY_SELECTED,relation__sw_branch_break_natal,relation,6,,0.7733333333333334,0.4
STABILITY_SELECTED,unseong__sw_state_태,unseong,5,,0.8640000000000001,0.3333333333333333
STABILITY_SELECTED,yongshin__sw_yong_fit,yongshin,5,,0.808,0.3333333333333333
STABILITY_SELECTED,shinsal__dw_신살_길신__문창귀인_,shinsal,5,,0.8,0.3333333333333333
STABILITY_SELECTED,relation__sw_dw_branch_harm,relation,5,,0.792,0.3333333333333333
STABILITY_SELECTED,shinsal__dw_신살_길신__홍란_,shinsal,5,,0.768,0.3333333333333333
STABILITY_SELECTED,tengod__sw_group_peer,tengod,5,,0.768,0.3333333333333333
STABILITY_SELECTED,yongshin__dw_gi_fit,yongshin,5,,0.768,0.3333333333333333
STABILITY_SELECTED,unseong__dw_score_x_strength,unseong,5,,0.744,0.3333333333333333
STABILITY_SELECTED,basic__dw_branch_申,basic,4,,0.87,0.26666666666666666
STABILITY_SELECTED,unseong__sw_state_관대,unseong,4,,0.87,0.26666666666666666
STABILITY_SELECTED,yongshin__sw_yong_stem_fit,yongshin,4,,0.86,0.26666666666666666
STABILITY_SELECTED,yongshin__sw_gi_fit,yongshin,4,,0.8300000000000001,0.26666666666666666
STABILITY_SELECTED,shinsal__sw_세운_신살_길신__천희_,shinsal,4,,0.79,0.26666666666666666
STABILITY_SELECTED,basic__dw_element_water,basic,4,,0.78,0.26666666666666666
STABILITY_SELECTED,basic__dw_stem_壬,basic,4,,0.78,0.26666666666666666
STABILITY_SELECTED,basic__dw_element_wood,basic,4,,0.76,0.26666666666666666
STABILITY_SELECTED,relation__dw_stem_clash_natal,relation,4,,0.75,0.26666666666666666
STABILITY_SELECTED,relation__dw_branch_break_natal,relation,4,,0.72,0.26666666666666666
STABILITY_SELECTED,basic__sw_branch_申,basic,4,,0.71,0.26666666666666666
STABILITY_SELECTED,unseong__sw_state_목욕,unseong,4,,0.7,0.26666666666666666
STABILITY_SELECTED,basic__sw_branch_未,basic,3,,0.9199999999999999,0.2
STABILITY_SELECTED,tengod__dw_group_wealth,tengod,3,,0.88,0.2
STABILITY_SELECTED,basic__sw_branch_子,basic,3,,0.7999999999999999,0.2
STABILITY_SELECTED,basic__sw_branch_辰,basic,3,,0.7866666666666666,0.2
STABILITY_SELECTED,basic__sw_branch_酉,basic,3,,0.7866666666666666,0.2
STABILITY_SELECTED,unseong__dw_state_장생,unseong,3,,0.7866666666666666,0.2
STABILITY_SELECTED,relation__sw_branch_clash_natal,relation,3,,0.7733333333333333,0.2
STABILITY_SELECTED,basic__sw_element_metal,basic,3,,0.7466666666666667,0.2
STABILITY_SELECTED,relation__sw_dw_stem_combine,relation,3,,0.7066666666666667,0.2
STABILITY_SELECTED,basic__sw_branch_巳,basic,3,,0.6933333333333334,0.2
STABILITY_SELECTED,relation__sw_dw_branch_break,relation,3,,0.6933333333333334,0.2
STABILITY_SELECTED,basic__dw_stem_丁,basic,3,,0.68,0.2
STABILITY_SELECTED,shinsal__dw_신살_흉살__count,shinsal,3,,0.68,0.2
STABILITY_SELECTED,basic__dw_stem_戊,basic,2,,0.8200000000000001,0.13333333333333333
STABILITY_SELECTED,relation__sw_dw_stem_clash,relation,2,,0.8200000000000001,0.13333333333333333
STABILITY_SELECTED,basic__dw_stem_丙,basic,2,,0.8,0.13333333333333333
STABILITY_SELECTED,tengod__dw_group_peer,tengod,2,,0.8,0.13333333333333333
STABILITY_SELECTED,basic__sw_branch_午,basic,2,,0.78,0.13333333333333333
STABILITY_SELECTED,unseong__dw_state_목욕,unseong,2,,0.78,0.13333333333333333
STABILITY_SELECTED,relation__sw_branch_harm_natal,relation,2,,0.76,0.13333333333333333
STABILITY_SELECTED,relation__sw_stem_clash_natal,relation,2,,0.76,0.13333333333333333
STABILITY_SELECTED,shinsal__sw_세운_신살_길신__천을귀인_,shinsal,2,,0.76,0.13333333333333333
STABILITY_SELECTED,basic__sw_element_earth,basic,2,,0.74,0.13333333333333333
STABILITY_SELECTED,basic__sw_stem_乙,basic,2,,0.7,0.13333333333333333
STABILITY_SELECTED,relation__dw_stem_combine_natal,relation,2,,0.7,0.13333333333333333
STABILITY_SELECTED,shinsal__dw_breakdown_scalar,shinsal,2,,0.6799999999999999,0.13333333333333333
STABILITY_SELECTED,tengod__dw_group_resource,tengod,2,,0.6799999999999999,0.13333333333333333
STABILITY_SELECTED,relation__sw_branch_punish_natal,relation,2,,0.64,0.13333333333333333
STABILITY_SELECTED,basic__sw_stem_戊,basic,1,,0.96,0.06666666666666667
STABILITY_SELECTED,unseong__dw_state_양,unseong,1,,0.96,0.06666666666666667
STABILITY_SELECTED,relation__sw_dw_branch_clash,relation,1,,0.92,0.06666666666666667
STABILITY_SELECTED,basic__dw_branch_午,basic,1,,0.88,0.06666666666666667
STABILITY_SELECTED,basic__dw_branch_子,basic,1,,0.88,0.06666666666666667
STABILITY_SELECTED,relation__dw_branch_combine_natal,relation,1,,0.88,0.06666666666666667
STABILITY_SELECTED,shinsal__sw_세운_신살_길신__문창귀인_,shinsal,1,,0.88,0.06666666666666667
STABILITY_SELECTED,basic__sw_branch_戌,basic,1,,0.84,0.06666666666666667
STABILITY_SELECTED,shinsal__dw_신살_흉살__도화_,shinsal,1,,0.84,0.06666666666666667
STABILITY_SELECTED,shinsal__sw_세운_신살_흉살__역마_,shinsal,1,,0.84,0.06666666666666667
STABILITY_SELECTED,unseong__sw_state_장생,unseong,1,,0.84,0.06666666666666667
STABILITY_SELECTED,basic__dw_branch_亥,basic,1,,0.8,0.06666666666666667
STABILITY_SELECTED,shinsal__dw_신살_흉살__양인_,shinsal,1,,0.8,0.06666666666666667
STABILITY_SELECTED,shinsal__sw_세운_신살_흉살__고진_,shinsal,1,,0.8,0.06666666666666667
STABILITY_SELECTED,unseong__dw_state_제왕,unseong,1,,0.8,0.06666666666666667
STABILITY_SELECTED,basic__dw_element_earth,basic,1,,0.76,0.06666666666666667
STABILITY_SELECTED,basic__sw_stem_丙,basic,1,,0.76,0.06666666666666667
STABILITY_SELECTED,relation__dw_branch_clash_natal,relation,1,,0.76,0.06666666666666667
STABILITY_SELECTED,relation__sw_dw_branch_punish,relation,1,,0.76,0.06666666666666667
STABILITY_SELECTED,unseong__dw_state_쇠,unseong,1,,0.76,0.06666666666666667
STABILITY_SELECTED,unseong__sw_score_x_strength,unseong,1,,0.76,0.06666666666666667
STABILITY_SELECTED,unseong__sw_state_쇠,unseong,1,,0.76,0.06666666666666667
STABILITY_SELECTED,basic__sw_stem_壬,basic,1,,0.72,0.06666666666666667
STABILITY_SELECTED,unseong__dw_state_병,unseong,1,,0.72,0.06666666666666667
STABILITY_SELECTED,yongshin__sw_gu_fit,yongshin,1,,0.72,0.06666666666666667
STABILITY_SELECTED,yongshin__dw_yong_stem_fit,yongshin,1,,0.68,0.06666666666666667
STABILITY_SELECTED,relation__sw_dw_branch_combine,relation,1,,0.64,0.06666666666666667
STABILITY_SELECTED,shinsal__sw_세운_신살_흉살__과숙_,shinsal,1,,0.64,0.06666666666666667
STABILITY_SELECTED,tengod__sw_group_officer,tengod,1,,0.64,0.06666666666666667
STABILITY_SELECTED,unseong__dw_state_사,unseong,1,,0.6,0.06666666666666667
STABILITY_SELECTED,yongshin__dw_hee_fit,yongshin,1,,0.6,0.06666666666666667
