C,l1_ratio,inner_pairwise,inner_p10,repeat,fold
0.1,0.5,0.48922189733593247,0.3977485380116959,2,1
0.1,1.0,0.48788986354775826,0.4225146198830409,2,1
0.3,1.0,0.48654970760233923,0.3877777777777778,2,1
0.1,0.75,0.484433885640026,0.40659844054580896,2,1
0.03,0.75,0.4730933235867446,0.40249999999999997,2,1
0.03,1.0,0.4601547270955166,0.338874269005848,2,1
0.03,0.5,0.45396564327485384,0.3939181286549708,2,1
0.03,0.25,0.4524366471734892,0.37768031189083817,2,1
1.0,0.5,0.5631631161236424,0.516015037593985,2,2
0.3,0.5,0.5608970342522974,0.49668128654970756,2,2
1.0,1.0,0.5492742272347535,0.4741666666666666,2,2
0.3,0.25,0.547373642439432,0.48247702589807856,2,2
0.1,0.75,0.5457863408521304,0.5230555555555555,2,2
0.3,0.75,0.5428414786967418,0.47583333333333333,2,2
0.3,1.0,0.54156223893066,0.47833333333333333,2,2
0.1,0.25,0.5343619465329992,0.47285087719298247,2,2
1.0,0.25,0.5341060985797828,0.4743483709273183,2,2
1.0,0.75,0.5232142857142857,0.5042982456140351,2,2
0.1,1.0,0.5216426482873852,0.46402046783625733,2,2
0.1,0.5,0.5198360484544695,0.47583333333333333,2,2
0.03,0.5,0.49471073517126146,0.4130263157894737,2,2
0.03,0.25,0.47959482038429413,0.43000000000000005,2,2
0.03,1.0,0.4745013575605681,0.4479166666666667,2,2
0.03,0.75,0.44987990810359235,0.4025,2,2
0.03,1.0,0.556300763482781,0.4778825536062378,2,3
0.03,0.75,0.5460430590364801,0.4807675438596491,2,3
0.1,0.25,0.5324520792722547,0.44947368421052636,2,3
0.3,0.25,0.5296621182586095,0.46964912280701754,2,3
0.3,0.5,0.5267381416504224,0.4663840155945419,2,3
0.1,0.75,0.5251055880441845,0.4618421052631579,2,3
1.0,0.75,0.5206384015594542,0.43660818713450295,2,3
0.1,0.5,0.519314489928525,0.47236842105263155,2,3
0.3,0.75,0.5142909356725146,0.4256432748538012,2,3
1.0,1.0,0.5119923651721897,0.4204093567251462,2,3
0.03,0.5,0.5109695535134132,0.48224728487886376,2,3
1.0,0.25,0.5065139701104614,0.42608187134502923,2,3
0.1,1.0,0.5060069154367399,0.44263157894736843,2,3
1.0,0.5,0.5050722871994803,0.4061988304093567,2,3
0.03,0.25,0.5037443144899285,0.4703216374269006,2,3
0.3,1.0,0.5036427875243664,0.413640350877193,2,3
0.03,0.5,0.5802353104984684,0.48298245614035085,2,4
0.03,0.75,0.5569383528265107,0.44947368421052625,2,4
0.1,0.5,0.5532738095238094,0.49078947368421055,2,4
0.3,0.5,0.5493038150932887,0.4818421052631579,2,4
1.0,0.25,0.5487677527151211,0.5018421052631579,2,4
0.3,0.25,0.5444061542745754,0.465,2,4
0.03,0.25,0.5442094820384294,0.5005263157894737,2,4
0.1,0.25,0.5415657198551935,0.4947368421052632,2,4
0.3,0.75,0.5370718462823726,0.45552631578947367,2,4
1.0,0.5,0.5356098579782791,0.465,2,4
1.0,0.75,0.5352165135059872,0.465,2,4
0.03,1.0,0.5350659635199109,0.41600877192982455,2,4
0.1,0.75,0.5307835561125035,0.48947368421052634,2,4
0.1,1.0,0.5301256613756614,0.4763888888888889,2,4
1.0,1.0,0.5171400724032302,0.4326315789473684,2,4
0.3,1.0,0.5076893622946255,0.451578947368421,2,4
