astrology_scored,axis,birth_date,birth_ok,birth_place,birth_time,birth_year,candidate_source,eligible,event_collection_started,gender,latitude,longitude,name,norm_name,prior_used,role_family,role_qid,seed_origin,selection_information_used,source_name,source_row_key,utc_offset,wave,wikidata_id,wikidata_sitelinks
False,PROJECT,1940-03-25,True,"Barnsdall, OK, United States",15:10,1940.0,V5_WIKIDATA_EXPANSION,True,False,female,36.562,-96.163,Anita Bryant,anitabryant,False,singer,Q177220,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,Anita Bryant,AnitaBryant1940,-06:00,V5_ROLE_ONLY_EXPANSION,Q240623,
False,PROJECT,1919-10-18,True,"Chicago, IL, United States",08:13,1919.0,V5_WIKIDATA_EXPANSION,True,False,female,41.883,-87.632,Anita O'Day,anitaoday,False,musician,Q639669,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,Anita O'Day,AnitaO'Day1919,-05:00,V5_ROLE_ONLY_EXPANSION,Q234413,
False,PROJECT,1908-03-07,True,"Rome, Italy",13:30,1908.0,V5_WIKIDATA_EXPANSION,True,False,female,41.891,12.494,Anna Magnani,annamagnani,False,actor,Q33999,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,Anna Magnani,AnnaMagnani1908,+01:00,V5_ROLE_ONLY_EXPANSION,Q56011,
False,PROJECT,1966-11-22,True,"Amiens, France",22:35,1966.0,V5_WIKIDATA_EXPANSION,True,False,female,49.894,2.294,Anne Brochet,annebrochet,False,film_director,Q2526255,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,Anne Brochet,AnneBrochet1966,+01:00,V5_ROLE_ONLY_EXPANSION,Q276249,
False,PROJECT,1942-10-22,True,"Utica, NY, United States",22:10,1942.0,V5_WIKIDATA_EXPANSION,True,False,female,43.102,-75.23,Annette Funicello,annettefunicello,False,singer,Q177220,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,Annette Funicello,AnnetteFunicello1942,-04:00,V5_ROLE_ONLY_EXPANSION,Q292081,
False,PROJECT,1931-10-25,True,"Paris, France",02:20,1931.0,V5_WIKIDATA_EXPANSION,True,False,female,48.857,2.351,Annie Girardot,anniegirardot,False,actor,Q33999,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,Annie Girardot,AnnieGirardot1931,+00:00,V5_ROLE_ONLY_EXPANSION,Q106443,
False,PROJECT,1954-07-23,True,"Philadelphia, PA, United States",11:34,1954.0,V5_WIKIDATA_EXPANSION,True,False,female,39.951,-75.166,Annie Sprinkle,anniesprinkle,False,film_director,Q2526255,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,Annie Sprinkle,AnnieSprinkle1954,-04:00,V5_ROLE_ONLY_EXPANSION,Q433576,
False,PROJECT,1909-01-22,True,"Valley City, ND, United States",11:45,1909.0,V5_WIKIDATA_EXPANSION,True,False,female,46.923,-98.003,Ann Sothern,annsothern,False,singer,Q177220,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,Ann Sothern,AnnSothern1909,-06:00,V5_ROLE_ONLY_EXPANSION,Q235289,
False,PROJECT,1947-06-28,True,"Rouen, France",08:55,1947.0,V5_WIKIDATA_EXPANSION,True,False,female,49.442,1.098,Anny Duperey,annyduperey,False,film_director,Q2526255,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,Anny Duperey,AnnyDuperey1947,+01:00,V5_ROLE_ONLY_EXPANSION,Q449640,
False,PROJECT,1915-04-23,True,"Chihuahua, Chihuahua, Mexico",11:00,1915.0,V5_WIKIDATA_EXPANSION,True,False,male,28.639,-106.073,Anthony Quinn,anthonyquinn,False,actor,Q33999,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,Anthony Quinn,AnthonyQuinn1915,-07:04,V5_ROLE_ONLY_EXPANSION,Q83484,
