axis,role_family,role_qid,wikidata_id,name,norm_name,wikidata_sitelinks,seed_origin,selection_information_used,source_row_key,source_name,gender,birth_date,birth_time,utc_offset,birth_year,birth_place,longitude,latitude,eligible,prior_used,birth_ok,wave,event_collection_started,astrology_scored
COMPETITIVE,athlete,Q2066131,Q558465,Gaston Reiff,gastonreiff,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,GastonReiff1921,Gaston Reiff,male,1921-02-24,01:00,+00:00,1921,"Braine-l'Alleud, Belgique",4.37,50.683,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,boxer,Q11338576,Q5541127,George Johnson,georgejohnson,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,GeorgeJohnson1948,George Johnson,male,1948-12-18,19:15,-06:00,1948,"Tylertown, MS, United States",-90.141,31.117,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,tennis_player,Q10833314,Q3124243,Gérard Pilet,gerardpilet,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,GérardPilet1933,Gérard Pilet,male,1933-09-15,03:50,+01:00,1933,"Asnières-sur-Seine, France",2.284,48.918,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,tennis_player,Q10833314,Q5558152,Gianluca Rinaldini,gianlucarinaldini,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,GianlucaRinaldini1959,Gianluca Rinaldini,male,1959-08-10,15:45,+01:00,1959,"Faenza, Italy",11.883,44.285,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,athlete,Q2066131,Q3105672,Gilbert De Smet,gilbertdesmet,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,GilbertDesmet1931,Gilbert Desmet,male,1931-02-03,20:00,+00:00,1931,"Roeselare, Belgium",3.123,50.945,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,boxer,Q11338576,Q1300183,Gilbert Lavoine,gilbertlavoine,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,GilbertLavoine1921,Gilbert Lavoine,male,1921-02-03,07:00,+00:00,1921,"Laon, France",3.624,49.565,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,tennis_player,Q10833314,Q212833,Gilles Simon,gillessimon,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,GillesSimon1984,Gilles Simon,male,1984-12-27,09:00,+01:00,1984,"Nice, France",7.266,43.703,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,athlete,Q2066131,Q155010,Gino Bartali,ginobartali,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,GinoBartali1914,Gino Bartali,male,1914-07-18,11:00,+01:00,1914,"Bagno a Ripoli, Italia",11.323,43.754,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,boxer,Q11338576,Q2467009,Giovanni Zuddas,giovannizuddas,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,GiovanniZuddas1928,Giovanni Zuddas,male,1928-03-01,10:00,+01:00,1928,"Cagliari, Italy",9.109,39.215,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,tennis_player,Q10833314,Q61136,Gottfried von Cramm,gottfriedvoncramm,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,GottfriedvonCramm1909,Gottfried von Cramm,male,1909-07-07,17:45,+01:00,1909,"Söhlde, Germany",10.232,52.189,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
