feature,mean,median,std,min,max,positive_fraction,negative_fraction,sign_stability,nonzero_rows,nonzero_share,n_unique,abs_mean_coef
shinsal__sw_세운_신살_흉살__망신_,0.29711154368597886,0.30812414097395724,0.0859640318165003,0.07788014226103819,0.4835805219958354,1.0,0.0,1.0,18,0.1592920353982301,2,0.29711154368597886
shinsal__sw_세운_신살_흉살__겁살_,-0.28630173069891557,-0.30036852349875554,0.09059503469070329,-0.5504267731388982,-0.08114994722905204,0.0,1.0,1.0,18,0.1592920353982301,2,0.28630173069891557
shinsal__sw_세운_신살_길신__반안_,-0.23604078759505195,-0.2479936948140701,0.05204537359991113,-0.33295677901283555,-0.11279409201638206,0.0,1.0,1.0,30,0.26548672566371684,2,0.23604078759505195
shinsal__sw_세운_신살_길신__화개_,-0.23604078759505195,-0.2479936948140701,0.05204537359991113,-0.33295677901283555,-0.11279409201638206,0.0,1.0,1.0,30,0.26548672566371684,2,0.23604078759505195
shinsal__dw_신살_길신__천을귀인_,0.22502536651986968,0.20836111432500284,0.10835789498624251,0.030970149168186,0.5807320352358063,1.0,0.0,1.0,9,0.07964601769911504,2,0.22502536651986968
shinsal__sw_세운_신살_흉살__count,-0.1868004044480399,-0.19545579494013243,0.05341577055353179,-0.2449910223595879,-0.021937595854522637,0.0,1.0,1.0,72,0.6371681415929203,5,0.1868004044480399
shinsal__dw_gongmang_yfit_branch,0.16461022681109147,0.16693973154402242,0.04790868824398999,0.06660672298859852,0.3051233014556585,1.0,0.0,1.0,113,1.0,4,0.16461022681109147
shinsal__dw_신살_흉살__count,-0.1226213999446557,-0.11714442308265954,0.04767178738346982,-0.25436900300630433,-0.03525440274465425,0.0,1.0,1.0,63,0.5575221238938053,6,0.1226213999446557
shinsal__dw_신살_흉살__도화_,-0.37850141965676326,-0.37752205348943485,0.14455105953896238,-0.7360761549777077,0.06914561416455782,0.043478260869565216,0.9565217391304348,0.9565217391304348,20,0.17699115044247787,2,0.37850141965676326
shinsal__dw_신살_흉살__양인_,-0.37196600127218676,-0.42396289732262843,0.1580085867369425,-0.5777184658121155,0.17765877577523637,0.043478260869565216,0.9565217391304348,0.9565217391304348,14,0.12389380530973451,2,0.37196600127218676
shinsal__sw_세운_신살_흉살__도화_,-0.32609644833456886,-0.3301770276623767,0.14477197980002496,-0.7145039070456362,0.09060609797907077,0.043478260869565216,0.9565217391304348,0.9565217391304348,34,0.3008849557522124,2,0.32609644833456886
shinsal__dw_gongmang_unseong,0.20508518751678087,0.2157141609542079,0.06635006771581177,-0.02478715403252654,0.36543571819607384,0.9565217391304348,0.043478260869565216,0.9565217391304348,113,1.0,3,0.20508518751678087
shinsal__sw_세운_신살_길신__록신_,0.18015109538755336,0.19540997673970203,0.10442518433811801,-0.13617995703733082,0.49387830969996255,0.9565217391304348,0.043478260869565216,0.9565217391304348,8,0.07079646017699115,2,0.18015109538755336
shinsal__sw_indicators_귀인력,0.11567828398697201,0.1238035490988339,0.04465893638258845,-0.04238234788066957,0.17751923398947544,0.9565217391304348,0.043478260869565216,0.9565217391304348,106,0.9380530973451328,24,0.11567828398697201
shinsal__dw_신살_길신__문창귀인_,-0.08209540475754658,-0.0777885013612378,0.035458589886159964,-0.1544263439056143,0.0,0.0,0.9565217391304348,0.9565217391304348,1,0.008849557522123894,2,0.08209540475754658
shinsal__dw_indicators_귀인력,-0.060087533139185155,-0.052845347072151744,0.04708012857716675,-0.21342154515629155,0.03635542306774719,0.043478260869565216,0.9565217391304348,0.9565217391304348,103,0.911504424778761,17,0.060087533139185155
shinsal__dw_noble_power,-0.060087533139185155,-0.052845347072151744,0.04708012857716675,-0.21342154515629155,0.03635542306774719,0.043478260869565216,0.9565217391304348,0.9565217391304348,103,0.911504424778761,17,0.060087533139185155
shinsal__dw_gongmang_rel,-0.10556169298853249,-0.12051131519490811,0.05738603327990369,-0.17630678679581804,0.10107391870387018,0.08695652173913043,0.9130434782608695,0.9130434782608695,113,1.0,4,0.10556169298853249
shinsal__dw_신살_길신__반안_,-0.08709878627299181,-0.08736674672629048,0.06300948136201191,-0.18722313349198966,0.0097949561423892,0.08695652173913043,0.9130434782608695,0.9130434782608695,26,0.23008849557522124,2,0.08709878627299181
shinsal__dw_신살_길신__화개_,-0.08709878627299181,-0.08736674672629048,0.06300948136201191,-0.18722313349198966,0.0097949561423892,0.08695652173913043,0.9130434782608695,0.9130434782608695,26,0.23008849557522124,2,0.08709878627299181
shinsal__dw_신살_흉살__과숙_,-0.05212830216897174,-0.03589370977813007,0.06807584579047253,-0.2245815007414837,0.09978749533282257,0.13043478260869565,0.8695652173913043,0.8695652173913043,6,0.05309734513274336,2,0.05212830216897174
shinsal__sw_세운_신살_길신__count,-0.032684354258496036,-0.03345973613836526,0.06734950028602854,-0.23532994019014405,0.13974841593025636,0.17391304347826086,0.8260869565217391,0.8260869565217391,90,0.7964601769911505,4,0.032684354258496036
shinsal__dw_신살_흉살__망신_,0.06284173079315467,0.07030861271215287,0.14096744283088772,-0.33132535507990496,0.34942629219369453,0.782608695652174,0.21739130434782608,0.782608695652174,26,0.23008849557522124,2,0.06284173079315467
shinsal__dw_신살_길신__장성_,0.06249935266328428,0.08307187168501019,0.08333956808562441,-0.13617691999833878,0.1870908042468432,0.782608695652174,0.21739130434782608,0.782608695652174,28,0.24778761061946902,2,0.06249935266328428
shinsal__sw_세운_신살_흉살__과숙_,-0.018566543997349364,-0.030541050634625165,0.09989998008358393,-0.15406830794815807,0.21412141577331115,0.34782608695652173,0.6521739130434783,0.6521739130434783,12,0.10619469026548672,2,0.018566543997349364
shinsal__dw_신살_흉살__역마_,-0.008317078350020539,-0.013555638794279488,0.10786049796727931,-0.3646253677603678,0.23914896622201504,0.391304347826087,0.6086956521739131,0.6086956521739131,14,0.12389380530973451,2,0.008317078350020539
shinsal__dw_신살_흉살__고진_,2.77596675305685e-05,0.016910191112539986,0.15541284256270543,-0.41331074819225716,0.38526365191373874,0.6086956521739131,0.391304347826087,0.6086956521739131,12,0.10619469026548672,2,2.77596675305685e-05
shinsal__dw_gongmang_trine,0.008097195881885495,-0.0010826379945243871,0.05032132105104358,-0.07010139200845596,0.18880421022183622,0.43478260869565216,0.5652173913043478,0.5652173913043478,113,1.0,4,0.008097195881885495
shinsal__sw_세운_신살_길신__홍란_,0.011158694193220008,0.0035699716396138566,0.055619743723114096,-0.11242983507478532,0.12596943674117594,0.5217391304347826,0.4782608695652174,0.5217391304347826,12,0.10619469026548672,2,0.011158694193220008
