feature_set,repeat,n_subjects,macro_pairwise,subject_hit_rate,median_sep
SHINSAL,28,23,0.5447722567287785,0.5652173913043478,0.21903308408225897
SHINSAL,29,23,0.5471877156659766,0.5217391304347826,0.008941176467343936
SHINSAL,30,23,0.5402518978605936,0.6086956521739131,0.33591405254737516
SHINSAL,31,23,0.5650621118012422,0.5652173913043478,0.34187842090607123
SHINSAL,32,23,0.5102311939268462,0.5217391304347826,0.12753243420475613
SHINSAL,33,23,0.6518115942028986,0.6086956521739131,0.5620110103864295
SHINSAL,34,23,0.6360766045548655,0.6521739130434783,0.46888466362714354
SHINSAL,35,23,0.6008109040717736,0.5652173913043478,0.15921670848046077
SHINSAL,36,23,0.6208592132505176,0.6086956521739131,0.2916598111352296
SHINSAL,37,23,0.6265182884748102,0.6521739130434783,0.43752163099834096
SHINSAL,38,23,0.5752760524499656,0.4782608695652174,-0.00602201076076625
SHINSAL,39,23,0.622688060731539,0.5652173913043478,0.49065633814617193
SHINSAL,40,23,0.5425983436853002,0.4782608695652174,-0.11339109310707585
SHINSAL,41,23,0.5778640441683921,0.5652173913043478,0.07793495292333219
SHINSAL,42,23,0.5330055210489995,0.4782608695652174,-0.16699556767081347
SHINSAL,43,23,0.5541925465838509,0.6086956521739131,0.37616763401305087
SHINSAL,44,23,0.62148033126294,0.6521739130434783,0.5726758534414067
SHINSAL,45,23,0.5575741890959283,0.5652173913043478,0.13551961643033095
SHINSAL,46,23,0.5685127674258109,0.5217391304347826,0.04474021459981614
SHINSAL,47,23,0.5394582470669427,0.5217391304347826,0.04568449847389289
SHINSAL,48,23,0.6046066252587992,0.6086956521739131,0.16555272262750975
SHINSAL,49,23,0.6030538302277433,0.6521739130434783,0.2881417490731333
TENGOD+YONGSHIN,0,23,0.5375086266390614,0.6086956521739131,0.5875671942513949
TENGOD+YONGSHIN,1,23,0.5254313319530711,0.5652173913043478,0.8832444482460111
TENGOD+YONGSHIN,2,23,0.5232574189095928,0.6086956521739131,0.582805827371045
TENGOD+YONGSHIN,3,23,0.5483781918564528,0.6521739130434783,0.7695043102696506
TENGOD+YONGSHIN,4,23,0.48050379572118695,0.4782608695652174,-0.08929202693340188
TENGOD+YONGSHIN,5,23,0.48678398895790204,0.6521739130434783,0.2705787100306794
TENGOD+YONGSHIN,6,23,0.5582815734989648,0.5652173913043478,0.6019426201795692
TENGOD+YONGSHIN,7,23,0.5858178053830227,0.6086956521739131,0.7104295636665401
TENGOD+YONGSHIN,8,23,0.5285714285714286,0.5652173913043478,0.1666974183802321
TENGOD+YONGSHIN,9,23,0.4707729468599034,0.4782608695652174,-0.09622407994077653
TENGOD+YONGSHIN,10,23,0.5418564527260179,0.6956521739130435,0.3932007685110839
TENGOD+YONGSHIN,11,23,0.4282608695652175,0.4782608695652174,-0.48087547379320866
TENGOD+YONGSHIN,12,23,0.5671497584541063,0.5652173913043478,0.6281900095605475
TENGOD+YONGSHIN,13,23,0.49185645272601797,0.5652173913043478,0.5374161424035444
TENGOD+YONGSHIN,14,23,0.5759144237405106,0.6521739130434783,0.8636064393466631
TENGOD+YONGSHIN,15,23,0.5761559696342305,0.6086956521739131,1.162843678656124
TENGOD+YONGSHIN,16,23,0.6529675638371292,0.782608695652174,1.2140086131233971
TENGOD+YONGSHIN,17,23,0.5836438923395445,0.6521739130434783,0.6427073117864524
TENGOD+YONGSHIN,18,23,0.5737405106970325,0.6956521739130435,0.7894985574181941
TENGOD+YONGSHIN,19,23,0.6446859903381642,0.6956521739130435,0.8639306588524778
TENGOD+YONGSHIN,20,23,0.5285024154589372,0.6086956521739131,0.6195321991672712
TENGOD+YONGSHIN,21,23,0.5942028985507247,0.6521739130434783,0.5053059564695559
TENGOD+YONGSHIN,22,23,0.5000690131124913,0.5652173913043478,0.17441327844245766
TENGOD+YONGSHIN,23,23,0.5335748792270532,0.5217391304347826,0.34698969530568124
TENGOD+YONGSHIN,24,23,0.5754313319530711,0.6086956521739131,0.6797184625596847
TENGOD+YONGSHIN,25,23,0.5203588681849551,0.6521739130434783,0.45723931478976
TENGOD+YONGSHIN,26,23,0.5474120082815735,0.5652173913043478,0.5873871113359788
TENGOD+YONGSHIN,27,23,0.5476535541752933,0.5217391304347826,0.556598255518948
TENGOD+YONGSHIN,28,23,0.5906487232574189,0.5652173913043478,0.9538007713221561
TENGOD+YONGSHIN,29,23,0.5357487922705314,0.6521739130434783,0.33700508854367406
TENGOD+YONGSHIN,30,23,0.5664251207729469,0.6521739130434783,0.6323824003241811
TENGOD+YONGSHIN,31,23,0.4609385783298826,0.5652173913043478,0.34906257825307385
TENGOD+YONGSHIN,32,23,0.5177018633540371,0.5652173913043478,0.6119216028956942
TENGOD+YONGSHIN,33,23,0.6010351966873706,0.6521739130434783,0.5425569249310387
TENGOD+YONGSHIN,34,23,0.6048999309868875,0.6521739130434783,1.0903242040171395
TENGOD+YONGSHIN,35,23,0.5160110420979986,0.5652173913043478,0.28178366286045486
TENGOD+YONGSHIN,36,23,0.5789855072463768,0.6521739130434783,0.9822034228823668
TENGOD+YONGSHIN,37,23,0.5297791580400276,0.6086956521739131,0.5616680467206563
TENGOD+YONGSHIN,38,23,0.49596273291925463,0.5217391304347826,0.27611210907644534
TENGOD+YONGSHIN,39,23,0.5145617667356798,0.5652173913043478,0.4761735081456111
TENGOD+YONGSHIN,40,23,0.5301932367149759,0.6086956521739131,0.15284561207174507
TENGOD+YONGSHIN,41,23,0.6123878536922015,0.6521739130434783,1.3369516242494979
TENGOD+YONGSHIN,42,23,0.6346100759144238,0.782608695652174,0.8113038249597495
TENGOD+YONGSHIN,43,23,0.5003105590062112,0.5217391304347826,0.17072681203843354
TENGOD+YONGSHIN,44,23,0.643719806763285,0.6956521739130435,1.1015541922934302
TENGOD+YONGSHIN,45,23,0.49161490683229814,0.5217391304347826,0.2149660281807444
TENGOD+YONGSHIN,46,23,0.5896135265700483,0.6086956521739131,0.822009508195876
TENGOD+YONGSHIN,47,23,0.6029675638371291,0.6521739130434783,0.867443298785707
TENGOD+YONGSHIN,48,23,0.606280193236715,0.6521739130434783,0.44978511666830334
TENGOD+YONGSHIN,49,23,0.5044168391994478,0.5217391304347826,0.23059878750642282
TENGOD+UNSEONG,0,23,0.580952380952381,0.6521739130434783,0.5836859967496402
TENGOD+UNSEONG,1,23,0.5783643892339544,0.6086956521739131,0.2344681460675786
TENGOD+UNSEONG,2,23,0.5134920634920634,0.6086956521739131,0.7994338613071961
TENGOD+UNSEONG,3,23,0.5866114561766735,0.7391304347826086,1.0463208821591026
