C,inner_macro,inner_p10,repeat,fold,model,kind,l1_ratio
0.1,0.4176722968389635,0.39308201058201053,0,1,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.5
0.3,0.410999751277529,0.39816578483245146,0,1,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.75
0.1,0.23710317460317457,0.0,0,1,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,1.0
0.1,0.10028829195495863,0.07894586894586895,0,1,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.75
0.03,0.09102903269569936,0.06279202279202278,0,1,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.25
0.03,0.0,0.0,0,1,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.5
0.03,0.0,0.0,0,1,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.75
0.03,0.0,0.0,0,1,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,1.0
1.0,0.6053198344865012,0.524010989010989,0,1,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,0.75
1.0,0.6015596029484919,0.5816575091575091,0,1,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,1.0
1.0,0.5838618685840908,0.5432967032967033,0,1,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,0.25
1.0,0.5749824763713652,0.527912087912088,0,1,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,0.5
0.3,0.5692703387147832,0.5428846153846153,0,1,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,0.25
0.3,0.5604593451815675,0.5364652014652015,0,1,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,0.75
0.1,0.555952380952381,0.5391666666666667,0,1,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,0.25
0.3,0.5466818161262605,0.5324596391263059,0,1,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,1.0
0.3,0.5370867815312259,0.4931043956043956,0,1,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,0.5
0.1,0.528786799620133,0.5170370370370371,0,1,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,0.5
0.1,0.44645966173743945,0.27773029439696106,0,1,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,1.0
0.03,0.35221589110477997,0.33589743589743587,0,1,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,0.25
0.1,0.35221589110477997,0.33589743589743587,0,1,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,0.75
0.03,0.0,0.0,0,1,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,0.5
0.03,0.0,0.0,0,1,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,0.75
0.03,0.0,0.0,0,1,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,1.0
3.0,0.5344889237746381,0.4988461538461539,0,2,TG10_RIDGE_DIAGNOSTIC,ASTRO,
0.03,0.5280873888016745,0.48448717948717956,0,2,TG10_RIDGE_DIAGNOSTIC,ASTRO,
0.1,0.5241409384266528,0.4870512820512821,0,2,TG10_RIDGE_DIAGNOSTIC,ASTRO,
0.3,0.5165554683411826,0.47961538461538467,0,2,TG10_RIDGE_DIAGNOSTIC,ASTRO,
1.0,0.5156397174254317,0.46038461538461545,0,2,TG10_RIDGE_DIAGNOSTIC,ASTRO,
0.1,0.6497209140066283,0.5475641025641026,0,2,TG10_RIDGE_DIAGNOSTIC,NPLUS,
0.03,0.6304138321995465,0.5252354788069075,0,2,TG10_RIDGE_DIAGNOSTIC,NPLUS,
0.3,0.6295961974533402,0.5296153846153846,0,2,TG10_RIDGE_DIAGNOSTIC,NPLUS,
1.0,0.6210034013605442,0.5537179487179488,0,2,TG10_RIDGE_DIAGNOSTIC,NPLUS,
3.0,0.6114185417756847,0.5329487179487179,0,2,TG10_RIDGE_DIAGNOSTIC,NPLUS,
3.0,0.6182343450200593,0.5906855049712192,0,2,ALL_ORTHODOX_RIDGE_AUTO,ASTRO,
1.0,0.5841989359846503,0.5782312925170068,0,2,ALL_ORTHODOX_RIDGE_AUTO,ASTRO,
0.3,0.5814822082679225,0.5740175300889586,0,2,ALL_ORTHODOX_RIDGE_AUTO,ASTRO,
0.1,0.5584358102215246,0.5508974358974359,0,2,ALL_ORTHODOX_RIDGE_AUTO,ASTRO,
0.03,0.5477455084597941,0.5333071690214547,0,2,ALL_ORTHODOX_RIDGE_AUTO,ASTRO,
1.0,0.693402232687947,0.6514259549973835,0,2,ALL_ORTHODOX_RIDGE_AUTO,NPLUS,
