subject_id,correct,repeat,fold,model
V5DEVX_066,1.0,0,1,NPLUS__TG10_RIDGE_DIAGNOSTIC
V5DEVX_103,1.0,0,1,NPLUS__TG10_RIDGE_DIAGNOSTIC
V5DEVX_115,0.0,0,1,NPLUS__TG10_RIDGE_DIAGNOSTIC
V5DEV_008,0.5,0,1,NPLUS__TG10_RIDGE_DIAGNOSTIC
V5DEV_020,0.0,0,1,NPLUS__TG10_RIDGE_DIAGNOSTIC
V5DEV_030,0.2857142857142857,0,1,NPLUS__TG10_RIDGE_DIAGNOSTIC
V5DEV_031,0.0,0,1,NPLUS__TG10_RIDGE_DIAGNOSTIC
V5DEV_035,1.0,0,1,NPLUS__TG10_RIDGE_DIAGNOSTIC
V5DEV_039,1.0,0,1,NPLUS__TG10_RIDGE_DIAGNOSTIC
V5DEV_108,0.3333333333333333,0,1,NPLUS__TG10_RIDGE_DIAGNOSTIC
V5DEV_126,0.0,0,1,NPLUS__TG10_RIDGE_DIAGNOSTIC
V5DEV_134,1.0,0,1,NPLUS__TG10_RIDGE_DIAGNOSTIC
V5DEV_152,1.0,0,1,NPLUS__TG10_RIDGE_DIAGNOSTIC
V5DEVE2_007,0.0,0,1,ASTRO__ALL_ORTHODOX_RIDGE_AUTO
V5DEVE2_083,1.0,0,1,ASTRO__ALL_ORTHODOX_RIDGE_AUTO
V5DEVE2_160,1.0,0,1,ASTRO__ALL_ORTHODOX_RIDGE_AUTO
V5DEVX_008,0.0,0,1,ASTRO__ALL_ORTHODOX_RIDGE_AUTO
V5DEVX_010,0.75,0,1,ASTRO__ALL_ORTHODOX_RIDGE_AUTO
V5DEVX_038,0.0,0,1,ASTRO__ALL_ORTHODOX_RIDGE_AUTO
V5DEVX_066,1.0,0,1,ASTRO__ALL_ORTHODOX_RIDGE_AUTO
V5DEVX_103,0.0,0,1,ASTRO__ALL_ORTHODOX_RIDGE_AUTO
V5DEVX_115,0.5,0,1,ASTRO__ALL_ORTHODOX_RIDGE_AUTO
V5DEV_008,0.5,0,1,ASTRO__ALL_ORTHODOX_RIDGE_AUTO
V5DEV_020,0.0,0,1,ASTRO__ALL_ORTHODOX_RIDGE_AUTO
